name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989
NetIncomeCommonStockholders,"307,583,000","89,408,000","82,510,000","80,072,000","55,593,000","82,835,000","74,483,000","74,788,000","43,643,000","67,750,000","63,944,000","50,650,000","32,547,000","68,615,000","45,932,000","39,963,000","32,819,000","69,849,000","33,884,000","25,737,000","15,991,000","16,750,000","25,033,000","36,391,000","35,164,000","47,307,000","36,361,000","33,370,000","20,943,000","38,493,000","11,299,000","22,740,000","41,312,000","39,751,000","34,360,000","31,796,000","24,516,000","36,581,000","27,784,000","25,898,000","16,335,000","34,847,000","20,115,000","24,454,000","15,805,000","33,011,000","27,523,000","27,077,000","21,779,000","38,259,000","25,175,000","21,390,000","19,503,000","26,843,000","20,356,000","21,092,000","12,278,000","25,304,000","17,519,000","17,934,000","14,523,000","20,413,000","14,720,000","14,324,000","15,609,000","14,754,000","12,519,000","10,873,000","14,122,000","13,692,000","11,312,000","10,816,000","9,316,000","34,473,000","8,723,000","10,465,000","9,219,000","10,122,000","11,079,000","10,644,000","9,229,000","8,800,000","14,000,000","8,300,000","8,000,000","8,000,000","6,800,000","7,700,000","6,600,000","7,800,000","8,100,000","7,100,000","5,000,000","3,100,000","4,400,000","5,200,000","3,300,000","5,000,000","5,000,000","4,200,000","4,000,000","5,900,000","4,200,000","5,300,000","4,000,000","-13,800,000","2,700,000","4,300,000","1,100,000","4,500,000","4,800,000","5,600,000","6,900,000","4,300,000","4,200,000","5,900,000","6,800,000","4,100,000","-8,800,000","7,700,000","3,900,000","-1,400,000","9,000,000","7,100,000",
	NetIncome,"307,583,000","89,408,000","82,510,000","80,072,000","55,593,000","82,835,000","74,483,000","74,788,000","43,643,000","67,750,000","63,944,000","50,650,000","32,547,000","68,615,000","45,932,000","39,963,000","32,819,000","69,849,000","33,884,000","25,737,000","15,991,000","16,750,000","25,033,000","36,391,000","35,164,000","47,307,000","36,361,000","33,370,000","20,943,000","38,493,000","11,299,000","22,740,000","41,312,000","39,751,000","34,360,000","31,796,000","24,516,000","36,581,000","27,784,000","25,898,000","16,335,000","34,847,000","20,115,000","24,454,000","15,805,000","33,011,000","27,523,000","27,077,000","21,779,000","38,259,000","25,175,000","21,390,000","19,503,000","26,843,000","20,356,000","21,092,000","12,278,000","25,304,000","17,519,000","17,934,000","14,523,000","20,413,000","14,720,000","14,324,000","15,609,000","14,754,000","12,519,000","10,873,000","14,122,000","13,692,000","11,312,000","10,816,000","9,316,000","34,473,000","8,723,000","10,465,000","9,219,000","10,122,000","11,079,000","10,644,000","9,229,000","8,800,000","14,000,000","8,300,000","8,000,000","8,000,000","6,800,000","7,700,000","6,600,000","7,800,000","8,100,000","7,100,000","5,000,000","3,100,000","4,400,000","5,200,000","3,300,000","5,000,000","5,000,000","4,200,000","4,000,000","5,900,000","4,200,000","5,300,000","4,000,000","-13,800,000","2,700,000","4,300,000","1,100,000","4,500,000","4,800,000","5,600,000","6,900,000","4,300,000","4,200,000","5,900,000","6,800,000","4,100,000","-8,800,000","7,700,000","3,900,000","-1,400,000","9,000,000","7,100,000",
		NetIncomeIncludingNoncontrollingInterests,"307,583,000","89,408,000","82,510,000","80,072,000","55,593,000","82,835,000","74,483,000","74,788,000","43,643,000","67,750,000","63,944,000","50,650,000","32,547,000","68,615,000","45,932,000","39,963,000","32,819,000","69,849,000","33,884,000","25,737,000","15,991,000","16,750,000","25,033,000","36,391,000","35,164,000","47,307,000","36,361,000","33,370,000","20,943,000","38,493,000","11,299,000","22,740,000","41,312,000","39,751,000","34,360,000","31,796,000","24,516,000","36,581,000","27,784,000","25,898,000","16,335,000","34,847,000","20,115,000","24,454,000","15,805,000","33,011,000","27,523,000","27,077,000","21,779,000","38,259,000","25,175,000","21,390,000","19,503,000","26,843,000","20,356,000","21,092,000","12,278,000","25,304,000","17,519,000","17,934,000","14,523,000","20,413,000","14,720,000","14,324,000","15,609,000","14,754,000","12,519,000","10,873,000","14,122,000","13,692,000","11,312,000","10,816,000","9,316,000","34,473,000","8,723,000","10,465,000","9,219,000","10,122,000","11,079,000","10,644,000","9,229,000","8,800,000","14,000,000","8,300,000","8,000,000","8,000,000","6,800,000","7,700,000","6,600,000","7,800,000","8,100,000","7,100,000","5,000,000","3,100,000","4,400,000","5,200,000","3,300,000","5,000,000","5,000,000","4,200,000","4,000,000","5,900,000","4,200,000","5,300,000","4,000,000","-13,800,000","2,700,000","4,300,000","1,100,000","4,500,000","4,800,000","5,600,000","6,900,000","4,300,000","4,200,000","5,900,000","6,800,000","4,100,000","-8,800,000","7,700,000","3,900,000","-1,400,000","9,000,000","7,100,000","5,500,000"
			NetIncomeContinuousOperations,"307,583,000","89,408,000","82,510,000","80,072,000","55,593,000","82,835,000","74,483,000","74,788,000","43,643,000","67,750,000","63,944,000","50,650,000","32,547,000","70,668,000","45,932,000","39,963,000","32,819,000","70,762,000","38,142,000","40,121,000","43,223,000","46,364,000","44,310,000","45,809,000","35,164,000","47,307,000","36,361,000","33,370,000","20,943,000","38,169,000","11,443,000","22,835,000","19,842,000","39,751,000","34,360,000","31,796,000","24,516,000","36,581,000","27,784,000","25,898,000","16,335,000","34,847,000","20,115,000","24,454,000","15,805,000","33,011,000","27,523,000","27,077,000","21,779,000","38,259,000","25,175,000","21,390,000","19,503,000","26,843,000","20,356,000","21,092,000","12,278,000","25,304,000","17,519,000","17,934,000","14,523,000","20,413,000","14,720,000","14,324,000","15,609,000","14,754,000","12,519,000","10,873,000","14,122,000","13,692,000","11,312,000","10,816,000","9,316,000","34,473,000","8,723,000","10,465,000","9,219,000","10,122,000","11,079,000","10,644,000","9,229,000","8,800,000","14,000,000","8,300,000","8,000,000","8,000,000","6,800,000","7,700,000","6,600,000","7,800,000","8,100,000","7,100,000","5,000,000","3,100,000","4,400,000","5,200,000","3,300,000","5,000,000","5,000,000","4,200,000","4,000,000","5,900,000","4,200,000","5,300,000","4,300,000","-13,800,000","2,700,000","4,300,000","3,800,000","4,500,000","4,800,000","5,600,000","6,900,000","4,300,000","4,200,000","5,900,000","6,800,000","4,100,000","-8,800,000","7,700,000","3,900,000","-1,400,000","9,000,000","7,100,000","5,500,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,"-2,053,000","0","0","0","-913,000","-4,258,000","-14,384,000","-27,232,000","-29,614,000","-19,277,000","-9,418,000",,"0","0","0","0","324,000","-144,000","-95,000","21,470,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"-300,000","0",,,"-2,700,000",,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"307,583,000","89,408,000","82,510,000","80,072,000","55,593,000","82,835,000","74,483,000","74,788,000","43,643,000","67,750,000","63,944,000","50,650,000","32,547,000","68,615,000","45,932,000","39,963,000","32,819,000","69,849,000","33,884,000","25,737,000","15,991,000","16,750,000","25,033,000","36,391,000","35,164,000","47,307,000","36,361,000","33,370,000","20,943,000","38,493,000","11,299,000","22,740,000","41,312,000","39,751,000","34,360,000","31,796,000","24,516,000","36,581,000","27,784,000","25,898,000","16,335,000","34,847,000","20,115,000","24,454,000","15,805,000","33,011,000","27,523,000","27,077,000","21,779,000","38,259,000","25,175,000","21,390,000","19,503,000","26,843,000","20,356,000","21,092,000","12,278,000","25,304,000","17,519,000","17,934,000","14,523,000","20,413,000","14,720,000","14,324,000","15,609,000","14,754,000","12,519,000","10,873,000","14,122,000","13,692,000","11,312,000","10,816,000","9,316,000","34,473,000","8,723,000","10,465,000","9,219,000","10,122,000","11,079,000","10,644,000","9,229,000","8,800,000","14,000,000","8,300,000","8,000,000","8,000,000","6,800,000","7,700,000","6,600,000","7,800,000","8,100,000","7,100,000","5,000,000","3,100,000","4,400,000","5,200,000","3,300,000","5,000,000","5,000,000","4,200,000","4,000,000","5,900,000","4,200,000","5,300,000","4,000,000","-13,800,000","2,700,000","4,300,000","1,100,000","4,500,000","4,800,000","5,600,000","6,900,000","4,300,000","4,200,000","5,900,000","6,800,000","4,100,000","-8,800,000","7,700,000","3,900,000","-1,400,000","9,000,000","7,100,000",
BasicEPS,,"2.09","1.93","1.87","1.3","1.91","1.7","1.69","0.99","1.54","1.45","1.15","0.74","1.55","1.04","0.9","0.74","1.54","0.73","0.54","0.34",,"0.52","0.76","0.73","1","0.77","0.71","0.45",,"0.24","0.49","0.88",,"0.74","0.69","0.53",,"0.61","0.57","0.36",,"0.44","0.54","0.35",,"0.61","0.61","0.49",,"0.57","0.48","0.44",,"0.46","0.48","0.28",,"0.405","0.415","0.34",,"0.345","0.34","0.375",,"0.303","0.265","0.343",,"0.275","0.265","0.23",,"0.218","0.26","0.23",,"0.278","0.265","0.23",,"0.345","0.205","0.198",,"0.165","0.19","0.163",,"0.198","0.173","0.123",,"0.11","0.128","0.083",,"0.123","0.105","0.1",,"0.103","0.133","0.1",,"0.068","0.108","0.028",,"0.118","0.14","0.17",,"0.105","0.148","0.17",,"-0.22","0.183","0.11",,"0.333","0.188","0.138"
DilutedEPS,,"2.08","1.92","1.86","1.29","1.89","1.68","1.68","0.98","1.52","1.43","1.13","0.73","1.53","1.02","0.88","0.73","1.51","0.71","0.53","0.33",,"0.51","0.74","0.72","0.97","0.76","0.7","0.44",,"0.24","0.48","0.87",,"0.73","0.68","0.52",,"0.6","0.56","0.35",,"0.44","0.54","0.35",,"0.6","0.6","0.48",,"0.56","0.48","0.44",,"0.46","0.48","0.28",,"0.4","0.41","0.335",,"0.34","0.335","0.37",,"0.3","0.26","0.34",,"0.27","0.258","0.225",,"0.213","0.255","0.225",,"0.273","0.263","0.228",,"0.345","0.198","0.195",,"0.165","0.188","0.16",,"0.198","0.173","0.123",,"0.11","0.128","0.083",,"0.123","0.105","0.1",,"0.103","0.133","0.1",,"0.068","0.108","0.028",,"0.118","0.14","0.17",,"0.105","0.148","0.17",,"-0.22","0.183","0.11",,"0.333","0.188","0.138"
BasicAverageShares,,"42,687,000","42,709,000","42,758,000","42,799,000","43,447,000","43,892,000","44,124,000","44,188,000","44,132,000","44,137,000","44,213,000","44,246,000","44,173,000","44,323,000","44,487,000","44,578,000","45,245,000","46,366,000","47,224,000","47,724,000",,"48,067,000","48,175,000","47,982,000","47,443,000","47,081,000","46,786,000","46,615,000",,"46,884,000","46,820,000","46,687,000",,"46,466,000","46,311,000","46,195,000",,"45,898,000","45,743,000","45,642,000",,"45,356,000","45,127,000","44,994,000",,"44,779,000","44,631,000","44,584,000",,"44,413,000","44,256,000","44,150,000",,"43,903,000","43,807,000","43,636,000",,"43,376,000","43,216,000","43,022,000",,"42,718,000","42,272,000","41,762,000",,"41,312,000","41,204,000","41,128,000",,"40,952,000","40,812,000","40,492,000",,"40,292,000","40,236,000","40,156,000",,"40,048,000","40,068,000","40,140,000",,"40,579,710","40,487,805","40,506,329",,"41,212,121","40,526,316","40,615,385",,"41,012,658","41,159,420","40,816,327",,"40,000,000","40,784,314","40,000,000",,"40,816,327","40,000,000","40,000,000",,"40,975,610","40,000,000","40,000,000",,"40,000,000","40,000,000","40,000,000",,"40,851,064","40,000,000","40,588,235",,"40,000,000","40,000,000","40,000,000",,"40,000,000","42,191,781","35,454,545",,"40,000,000","37,866,667","40,144,000"
DilutedAverageShares,,"42,986,000","42,995,000","43,024,000","43,058,000","43,782,000","44,334,000","44,553,000","44,678,000","44,692,000","44,686,000","44,807,000","44,860,000","44,783,000","44,997,000","45,164,000","45,240,000","46,143,000","47,395,000","48,258,000","48,732,000",,"49,101,000","49,239,000","49,130,000","48,591,000","48,063,000","47,507,000","47,483,000",,"47,415,000","47,501,000","47,571,000",,"46,936,000","47,015,000","46,974,000",,"46,276,000","46,311,000","46,158,000",,"45,828,000","45,537,000","45,466,000",,"45,505,000","45,355,000","45,226,000",,"45,102,000","44,915,000","44,720,000",,"44,338,000","44,295,000","44,134,000",,"43,946,000","43,776,000","43,628,000",,"43,430,000","42,920,000","42,412,000",,"41,872,000","41,724,000","41,632,000",,"41,880,000","42,044,000","41,360,000",,"40,896,000","41,076,000","40,848,000",,"40,796,000","40,456,000","40,528,000",,"40,579,710","42,025,316","41,025,641",,"41,212,121","41,066,667","41,250,000",,"41,012,658","41,159,420","40,816,327",,"40,000,000","40,784,314","40,000,000",,"40,816,327","40,000,000","40,000,000",,"40,975,610","40,000,000","40,000,000",,"40,000,000","40,000,000","40,000,000",,"40,851,064","40,000,000","40,588,235",,"40,000,000","40,000,000","40,000,000",,"40,000,000","42,191,781","35,454,545",,"40,000,000","37,866,667","40,144,000"
TotalOperatingIncomeAsReported,"403,953,000","120,654,000","105,569,000","105,685,000","72,045,000","110,005,000","97,047,000","102,076,000","64,498,000","108,695,000","96,550,000","83,271,000","51,227,000","106,173,000","76,573,000","68,089,000","57,263,000","108,527,000","63,813,000","65,442,000","72,835,000","75,311,000","74,140,000","76,650,000","59,101,000","74,918,000","62,887,000","57,788,000","38,026,000","61,981,000","23,366,000","40,540,000","35,559,000","61,438,000","50,146,000","51,689,000","41,683,000","57,225,000","48,086,000","43,428,000","31,084,000","58,195,000","36,218,000","43,763,000","31,143,000","57,973,000","48,190,000","49,672,000","40,727,000","61,145,000","44,488,000","38,409,000","35,142,000","45,681,000","37,251,000","33,077,000","24,619,000","44,876,000","32,441,000","33,186,000","27,479,000","34,361,000","25,465,000","25,643,000","25,250,000","27,680,000","20,868,000","17,437,000","23,345,000","21,286,000","12,551,000","15,078,000","12,914,000","11,729,000","11,098,000","13,066,000","11,265,000","13,045,000","13,022,000","14,029,000","12,089,000","9,600,000","20,700,000","10,300,000","10,600,000","6,500,000","10,100,000","11,000,000","8,600,000","9,600,000","8,500,000","9,100,000","6,200,000","1,300,000","6,200,000","7,100,000","4,700,000","-1,500,000","6,200,000","5,200,000","5,000,000","7,700,000","6,100,000","6,600,000","5,700,000","-26,800,000","4,300,000","4,100,000","2,800,000","600,000","6,400,000","6,800,000","9,200,000","-4,700,000","6,700,000","9,200,000","10,500,000","14,000,000","-12,700,000","12,000,000","7,300,000","2,100,000","2,000,000","6,000,000",
TotalExpenses,"2,084,008,000","535,117,000","509,311,000","533,311,000","506,269,000","538,617,000","498,346,000","518,222,000","483,024,000","503,186,000","471,351,000","484,382,000","472,364,000","459,392,000","430,519,000","464,677,000","446,244,000","480,228,000","461,722,000","479,752,000","473,364,000","493,861,000","485,354,000","575,802,000","582,311,000","624,812,000","537,780,000","559,899,000","554,661,000","528,466,000","455,856,000","485,846,000","466,102,000","499,941,000","465,850,000","463,216,000","420,167,000","466,156,000","417,727,000","418,737,000","410,691,000","444,582,000","399,532,000","403,608,000","392,649,000","449,625,000","387,509,000","403,792,000","392,652,000","436,526,000","351,780,000","327,167,000","297,467,000","332,486,000","274,550,000","276,558,000","257,933,000","273,017,000","238,914,000","250,007,000","231,008,000","246,743,000","211,109,000","196,785,000","189,683,000","165,983,000","168,750,000","165,420,000","156,588,000","152,787,000","107,090,000","106,699,000","84,873,000","85,497,000","68,322,000","73,538,000","68,652,000","69,365,000","68,856,000","69,021,000","70,148,000","74,100,000","48,300,000","59,900,000","59,800,000","60,000,000","52,500,000","48,400,000","52,200,000","49,600,000","44,200,000","45,300,000","46,900,000","38,800,000","41,000,000","38,100,000","33,400,000","38,800,000","32,000,000","34,100,000","34,600,000","34,000,000","35,000,000","32,900,000","35,000,000","59,300,000","34,500,000","36,800,000","37,900,000","36,500,000","40,200,000","40,500,000","41,900,000","39,400,000","40,200,000","45,200,000","44,800,000","25,800,000","64,300,000","44,500,000","45,700,000","43,200,000","45,900,000","41,700,000",
NetIncomeFromContinuingAndDiscontinuedOperation,"307,583,000","89,408,000","82,510,000","80,072,000","55,593,000","82,835,000","74,483,000","74,788,000","43,643,000","67,750,000","63,944,000","50,650,000","32,547,000","68,615,000","45,932,000","39,963,000","32,819,000","69,849,000","33,884,000","25,737,000","15,991,000","16,750,000","25,033,000","36,391,000","35,164,000","47,307,000","36,361,000","33,370,000","20,943,000","38,493,000","11,299,000","22,740,000","41,312,000","39,751,000","34,360,000","31,796,000","24,516,000","36,581,000","27,784,000","25,898,000","16,335,000","34,847,000","20,115,000","24,454,000","15,805,000","33,011,000","27,523,000","27,077,000","21,779,000","38,259,000","25,175,000","21,390,000","19,503,000","26,843,000","20,356,000","21,092,000","12,278,000","25,304,000","17,519,000","17,934,000","14,523,000","20,413,000","14,720,000","14,324,000","15,609,000","14,754,000","12,519,000","10,873,000","14,122,000","13,692,000","11,312,000","10,816,000","9,316,000","34,473,000","8,723,000","10,465,000","9,219,000","10,122,000","11,079,000","10,644,000","9,229,000","8,800,000","14,000,000","8,300,000","8,000,000","8,000,000","6,800,000","7,700,000","6,600,000","7,800,000","8,100,000","7,100,000","5,000,000","3,100,000","4,400,000","5,200,000","3,300,000","5,000,000","5,000,000","4,200,000","4,000,000","5,900,000","4,200,000","5,300,000","4,300,000","-13,800,000","2,700,000","4,300,000","3,800,000","4,500,000","4,800,000","5,600,000","6,900,000","4,300,000","4,200,000","5,900,000","6,800,000","4,100,000","-8,800,000","7,700,000","3,900,000","-1,400,000","9,000,000","7,100,000",
NormalizedIncome,"307,583,000","89,408,000","82,510,000","80,072,000","55,593,000","82,835,000","74,483,000","74,788,000","43,643,000","67,750,000","63,944,000","50,650,000","32,547,000","70,668,000","45,932,000","39,963,000","32,819,000","70,762,000","38,142,000","40,121,000","43,223,000","46,364,000","44,310,000","45,809,000","35,164,000","47,307,000","36,361,000","33,370,000","20,943,000","38,169,000","11,525,036.087","22,748,057.931","19,772,639.021","39,176,620.477","34,386,678.202","31,776,276.7","24,478,507.619","36,611,100.905","27,727,588.451","25,637,062.972","16,237,893.347","34,617,028.119","19,911,904.49","24,423,160.191","15,610,855.983","32,675,783.8","27,279,590.393","26,935,023.221","21,471,925.04","37,695,136.458","25,017,856.081","21,089,504.386","18,938,214.178","27,403,886.331","20,334,682.788","21,158,063.085","12,102,231.002","25,487,362.319","17,404,970.26","18,297,422.535","12,765,900.963","20,693,791.331","14,599,049.523","14,167,122.262","15,948,295.919","14,604,893.758","12,248,667.476","10,226,373.304","13,946,536.77","13,286,570.172","7,551,053.145","9,128,069.308","7,875,911.212","5,245,904.743","6,368,000","7,844,725.476","6,871,676.297","8,049,566.016","7,815,955.978","8,386,386.869","7,163,636.647","5,744,444.444","12,356,521.739","6,272,519.084","6,325,581.395","3,878,787.879","5,900,000","6,886,178.862","5,292,452.83","6,320,689.655","5,785,714.286","5,850,925.926","4,025,974.026","852,500","3,889,855.072","4,429,629.63","2,970,000","-1,012,658.228","4,236,111.111","3,333,333.333","3,213,114.754","5,535,802.469","3,705,882.353","4,655,405.405","3,648,484.848","-13,800,000","2,700,000","2,567,164.179","1,710,000","-660,000","4,123,943.662","4,379,487.179","6,748,351.648","-3,493,750","4,135,384.615","5,832,954.545","6,733,333.333","4,100,000","-8,932,330.827","7,700,000","5,280,000","-2,360,000","806,896.552","3,919,791.667",
InterestExpense,"31,347,000","8,164,000","7,951,000","7,960,000","7,272,000","8,264,000","7,949,000","9,566,000","8,204,000","9,887,000","10,457,000","10,750,000","10,377,000","10,554,000","10,488,000","10,273,000","9,933,000","9,085,000","8,972,000","8,985,000","8,996,000","8,740,000","9,013,000","8,988,000","9,054,000","9,339,000","9,690,000","9,332,000","8,659,000","6,673,000","6,648,000","6,526,000","6,482,000","5,713,000","5,033,000","4,967,000","5,121,000","4,925,000","5,815,000","5,700,000","5,667,000","5,661,000","5,923,000","6,542,000","6,940,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-31,347,000","-8,164,000","-7,951,000","-7,960,000","-7,272,000","-8,264,000","-7,949,000","-9,566,000","-8,204,000","-9,887,000","-10,457,000","-10,750,000","-10,377,000","-10,554,000","-10,488,000","-10,273,000","-9,933,000","-9,085,000","-8,972,000","-8,985,000","-8,996,000","-8,740,000","-9,013,000","-8,988,000","-9,054,000","-9,339,000","-9,690,000","-9,332,000","-8,659,000","-6,673,000","-6,648,000","-6,526,000","-6,482,000","-5,713,000","-5,033,000","-4,967,000","-5,121,000","-4,925,000","-5,815,000","-5,700,000","-5,667,000","-5,661,000","-5,923,000","-6,542,000","-6,940,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"427,809,000","126,806,000","111,924,000","111,556,000","77,523,000","114,104,000","100,890,000","106,047,000","69,181,000","109,219,000","96,871,000","83,461,000","51,539,000","106,466,000","77,056,000","68,190,000","57,497,000","108,537,000","63,974,000","65,405,000","73,316,000","75,740,000","73,982,000","76,714,000","59,166,000","75,196,000","63,265,000","58,012,000","38,500,000","62,113,000","23,247,000","40,670,000","35,661,000","62,255,000","50,111,000","51,718,000","41,739,000","57,182,000","48,172,000","43,812,000","31,236,000","58,544,000","36,527,000","43,810,000","31,444,000","57,973,000","48,190,000","49,672,000","40,727,000","61,145,000","44,488,000","38,409,000","35,142,000","45,681,000","37,251,000","33,077,000","24,619,000","44,876,000","32,441,000","33,186,000","27,479,000","34,361,000","25,465,000","25,643,000","25,250,000","27,680,000","20,868,000","17,437,000","23,345,000","21,286,000","12,551,000","15,078,000","12,914,000","11,729,000","11,098,000","13,066,000","11,265,000","13,045,000","13,022,000","14,029,000","12,089,000","9,600,000","20,700,000","10,300,000","10,600,000","6,500,000","10,100,000","11,000,000","8,600,000","9,600,000","8,500,000","9,100,000","6,200,000","1,300,000","6,200,000","7,100,000","4,700,000","-1,500,000","6,200,000","5,200,000","5,000,000","7,700,000","6,100,000","6,600,000","5,700,000","-26,800,000","4,300,000","4,100,000","2,800,000","600,000","6,400,000","6,800,000","9,200,000","-4,700,000","6,700,000","9,200,000","10,500,000","14,000,000","-12,700,000","12,000,000","7,300,000","2,100,000","2,000,000","6,000,000","46,700,000"
EBITDA,"530,221,000"
ReconciledCostOfRevenue,"1,589,216,000","410,019,000","388,804,000","408,952,000","381,441,000","407,570,000","372,875,000","393,798,000","366,331,000","373,614,000","357,118,000","368,883,000","352,816,000","356,841,000","322,616,000","347,387,000","331,604,000","364,441,000","340,041,000","362,843,000","355,103,000","369,129,000","366,066,000","436,249,000","439,260,000","468,060,000","405,965,000","416,673,000","408,980,000","396,401,000","337,806,000","362,379,000","342,387,000","373,824,000","345,359,000","345,948,000","312,881,000","349,712,000","310,096,000","307,782,000","303,791,000","329,903,000","293,435,000","302,789,000","288,032,000","335,013,000","287,908,000","296,230,000","294,910,000","333,277,000","266,448,000","247,553,000","221,222,000","250,720,000","205,783,000","204,082,000","190,491,000","206,964,000","177,840,000","182,894,000","172,718,000","180,067,000","154,725,000","146,406,000","143,338,000","125,476,000","132,601,000","126,175,000","120,901,000","119,040,000","78,442,000","78,078,000","61,632,000","62,444,000","49,233,000","53,767,000","49,906,000","48,144,000","47,342,000","49,024,000","49,749,000","51,200,000","41,700,000","42,700,000","42,400,000","43,300,000","39,000,000","35,200,000","40,300,000","36,200,000","31,500,000","32,900,000","34,000,000","30,700,000","28,600,000","28,500,000","22,000,000","28,300,000","21,300,000","23,100,000","23,500,000","24,600,000","24,400,000","22,400,000","24,400,000","26,400,000","23,400,000","24,900,000","26,400,000","27,100,000","28,200,000","27,600,000","28,500,000","27,000,000","27,200,000","31,600,000","32,100,000","33,300,000","28,300,000","31,900,000","31,400,000","20,600,000","33,800,000","29,300,000",
ReconciledDepreciation,"102,412,000","25,414,000","25,398,000","25,807,000","25,793,000","25,803,000","25,889,000","26,656,000","24,601,000","25,180,000","24,854,000","25,035,000","24,926,000","23,589,000","23,432,000","24,500,000","24,487,000","24,382,000","24,890,000","25,830,000","25,708,000","27,997,000","29,548,000","30,434,000","30,952,000","31,837,000","29,427,000","29,833,000","30,400,000","24,742,000","22,516,000","23,104,000","23,534,000","23,104,000","22,952,000","21,722,000","20,522,000","21,073,000","19,837,000","19,526,000","19,510,000","19,204,000","19,231,000","19,012,000","19,033,000","18,180,000","18,561,000","18,763,000","18,747,000","18,662,000","16,125,000","14,449,000","13,463,000","12,709,000","13,136,000","12,812,000","12,134,000","11,993,000","12,081,000","12,296,000","11,481,000","9,021,000","11,298,000","10,916,000","9,507,000","8,364,000","7,649,000","8,494,000","6,820,000","5,891,000","3,869,000","4,990,000","3,943,000","3,463,000","3,811,000","3,712,000","3,748,000","3,463,000","3,769,000","3,555,000","3,559,000","3,800,000","3,400,000","2,800,000","2,900,000","2,000,000","2,800,000","2,500,000","2,400,000","2,000,000","2,200,000","2,400,000","2,500,000","2,200,000","2,200,000","2,300,000","2,200,000","1,700,000","2,800,000","2,500,000","2,500,000","2,800,000","2,700,000","2,700,000","2,700,000","2,500,000","3,000,000","3,000,000","3,000,000","2,800,000","2,900,000","3,200,000","3,000,000","3,000,000","3,000,000","3,100,000","3,100,000","2,900,000","3,000,000","2,900,000","3,000,000","2,600,000","3,000,000","2,900,000",
