name,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016,12/31/2015,06/30/2015,12/31/2014,06/30/2014,12/31/2013,06/30/2013,12/31/2012,06/30/2012,12/31/2011,06/30/2011,12/31/2010,09/30/2010,06/30/2010,12/31/2009,06/30/2009,06/30/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001
	CurrentLiabilities,"91,249,000,000","101,238,000,000","70,242,000,000","68,932,000,000","61,412,000,000","80,464,000,000","67,090,000,000","90,811,000,000","84,380,000,000","93,072,000,000","103,498,000,000","120,765,000,000","128,948,000,000","126,328,000,000","82,437,000,000","64,892,000,000","70,216,000,000","71,134,000,000","69,410,086,000","50,263,000,000","50,299,226,000","31,041,950,000","23,459,698,000","27,723,884,081.44","21,432,425,347.56","17,397,172,968","14,469,134,570","18,046,648,711.52","13,620,390,101.5","12,325,966,674.4","10,402,364,680.75","9,476,494,994","9,306,536,296.35","6,973,141,043.25","7,134,405,301.44","4,396,303,239.3","4,391,637,333.12","7,093,184,068.1"
		PayablesAndAccruedExpenses,"75,003,000,000","78,766,000,000","60,489,000,000","61,402,000,000","42,614,000,000","56,921,000,000","42,569,000,000","56,362,000,000","48,210,000,000","68,159,000,000","70,865,000,000","92,771,000,000","76,690,000,000","80,131,000,000","53,607,000,000","39,249,000,000","50,297,000,000","49,143,000,000","45,202,388,000",,"35,840,921,000","28,742,214,000","23,409,849,000","7,431,077,117.23","9,366,076,830.56","4,543,615,891.5","7,575,715,707.5","4,625,117,755.28","6,460,309,744.5","3,202,187,095.6","6,077,511,438.45","3,996,740,488.9","3,969,927,561.05","2,853,950,159.55","2,659,722,269.76","1,645,268,639.4","591,617,821.44","1,232,928,704.8"
			Payables,"75,003,000,000","78,766,000,000","59,742,000,000","61,402,000,000","42,233,000,000","56,921,000,000","42,120,000,000","56,362,000,000","47,937,000,000","68,159,000,000","70,701,000,000","92,771,000,000","76,583,000,000","80,131,000,000","53,607,000,000","39,249,000,000","50,297,000,000","49,143,000,000","45,126,200,000",,"35,840,921,000","28,604,141,000","23,409,849,000","7,431,077,117.23","5,058,680,239.04","4,543,615,891.5","4,142,468,660","4,625,117,755.28","2,868,554,917.5","3,202,187,095.6","3,102,021,480.6","3,996,740,488.9","3,969,927,561.05","2,853,950,159.55","2,659,722,269.76","1,645,268,639.4","591,617,821.44","1,232,928,704.8"
				AccountsPayable,"19,828,000,000","37,624,000,000","13,045,000,000","27,314,000,000","10,062,000,000","27,261,000,000","10,254,000,000","26,882,000,000","13,301,000,000","38,502,000,000","31,028,000,000","49,970,000,000","30,468,000,000","40,531,000,000","12,014,000,000","19,589,000,000","31,110,000,000","37,123,000,000","34,057,481,000",,"27,223,809,000","23,065,480,000","19,497,409,000","7,431,077,117.23","5,058,680,239.04","4,543,615,891.5","4,142,468,660","4,625,117,755.28","2,868,554,917.5","3,202,187,095.6","3,102,021,480.6","3,996,740,488.9","3,969,927,561.05","2,853,950,159.55","2,659,722,269.76","1,645,268,639.4","591,617,821.44","1,232,928,704.8"
				TotalTaxPayable,"13,956,000,000","12,216,000,000","16,316,000,000","10,826,000,000","6,756,000,000","7,106,000,000","6,775,000,000","7,984,000,000","4,647,000,000","8,302,000,000","10,461,000,000","15,267,000,000","19,449,000,000","14,474,000,000","12,183,000,000","7,372,000,000","7,656,000,000","12,020,000,000","11,068,719,000",,"8,617,112,000","5,538,661,000","3,912,440,000",,,,,,,,,,,,,,,
					IncomeTaxPayable,"13,956,000,000","12,216,000,000","15,701,000,000","10,826,000,000","6,701,000,000","7,106,000,000","6,775,000,000","7,984,000,000","4,647,000,000","8,302,000,000","8,311,000,000","15,267,000,000","13,415,000,000","14,474,000,000","12,183,000,000",,,,,,,,,,,,,,,,,,,,,,,
				DividendsPayable,,"15,710,000,000",,"11,293,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				DuetoRelatedPartiesCurrent,"20,321,000,000",,"19,788,000,000",,"16,844,000,000",,"15,091,000,000",,"19,313,000,000",,"21,164,000,000",,"18,090,000,000",,"11,975,000,000",,"11,531,000,000",,,,,,,,,,,,,,,,,,,,,
				OtherPayable,"20,898,000,000","13,216,000,000","10,593,000,000","11,969,000,000","8,571,000,000","22,554,000,000","10,000,000,000","21,496,000,000","10,676,000,000","21,355,000,000","8,048,000,000","27,534,000,000","8,576,000,000","25,126,000,000","17,435,000,000","12,288,000,000",,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"1,527,000,000",,"747,000,000",,"381,000,000",,"449,000,000",,"273,000,000",,"164,000,000",,"107,000,000",,,,,,"76,188,000",,,"138,073,000",,,"4,307,396,591.52",,"3,433,247,047.5",,"3,591,754,827",,"2,975,489,957.85",,,,,,,
