name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997
	OtherOperatingExpenses,,,,,,,,,,,,,,,"-24,384,000",,"0.86",,"-17,464,301.086","-11,084,645.096","-10,278,097.654",,"-0.681",,"0.724"
OperatingIncome,"328,821,000","363,974,000","437,407,000","423,896,000","383,270,000",,"270,169,000","372,668,000","351,474,000","170,090,000","238,616,000","209,583,000","95,548,000","191,934,000","183,777,000","135,456,474.118","102,663,060.25","69,429,438.863","87,778,991.547","65,994,925.806","19,166,689.918","48,807,135.916","28,576,853.201","16,840,961.022","8,697,636.456"
NetNonOperatingInterestIncomeExpense,"-39,656,000","-40,097,000","-32,528,000","-25,462,000","-19,252,000",,"-10,790,000","-5,683,000","-7,885,000","-11,315,000","-5,072,000","-1,828,000","-1,824,000",,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,"212,000",,,,,,,,,,,,,
	InterestExpenseNonOperating,"32,231,000","32,087,000","25,056,000","17,437,000","12,904,000",,"7,035,000","2,384,000","4,211,000","7,639,000","5,072,000","2,040,000","1,824,000",,,,,,,,,,,,
	TotalOtherFinanceCost,"7,425,000","8,010,000","7,472,000","8,025,000","6,348,000",,"3,755,000","3,299,000","3,674,000","3,676,000",,,,,,,,,,,,,,,
OtherIncomeExpense,"-163,123,000","-74,052,000","-32,745,000","-21,618,000","-12,180,000",,"-18,183,000","-461,000","-12,870,000","-14,648,000","-9,382,000","-11,414,000","-4,071,000","-5,719,000","-28,012,000","-20,405,956.475","-10,714,838.515",,,,,"-1,560,623.669","-399,676.549","-501,219.129",
	GainOnSaleOfSecurity,"1,761,000","929,000","1,483,000","1,276,000","-434,000",,"-4,586,000","2,786,000","-4,128,000","-283,000","1,098,000","1,077,000",,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,"0","46,000","597,000","-504,000","-3,786,000",,"-230,000",,,,,,,,,,,
	SpecialIncomeCharges,"-164,884,000","-74,981,000","-34,228,000","-22,894,000","-11,746,000",,"-13,597,000","-3,247,000","-8,788,000","-14,962,000","-9,976,000","-8,705,000","-4,071,000","-5,489,000","-28,012,000","-20,405,956.475","-10,714,838.515",,,,,"-1,560,623.669","-399,676.549","-501,219.129",
		RestructuringAndMergernAcquisition,"46,914,000","47,329,000","34,228,000","22,894,000","11,746,000",,"13,597,000","3,247,000","8,788,000","14,962,000","8,465,000","8,705,000","6,199,000","5,489,000","13,619,000","20,405,956.475",,,,,,,,,
