name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
BasicAverageShares,,"559,800,000","573,900,000","577,500,000","576,400,000","576,200,000","576,200,000","578,300,000","585,500,000","590,400,000","589,500,000","589,100,000","452,100,000","431,500,000","421,200,000","405,000,000","385,986,000","369,646,000","400,000,000","216,666,667","220,779,221","120,000,000","192,549,020","194,033,149","192,301,887","184,742,268","179,480,519","166,857,143"
DilutedAverageShares,,"559,800,000","582,100,000","586,214,953","576,900,000","576,200,000","576,200,000","578,300,000","587,681,159","592,888,889","590,600,000","589,100,000","454,690,090","434,101,474","434,154,906","432,475,884","412,709,030","392,105,263","400,000,000","232,835,821","224,294,737","120,000,000","192,549,020","194,033,149","202,222,222","184,742,268","179,480,519","166,857,143"
TotalOperatingIncomeAsReported,"-1,463,000,000","-150,000,000","4,784,000,000","4,333,000,000","1,725,000,000","-2,918,000,000","1,048,000,000","1,977,000,000","2,785,000,000","4,456,000,000",,,"1,395,094,706","2,738,107,061","3,561,276,794","1,560,000,000","725,000,000","-16,000,000","77,000,000","101,000,000","171,000,000","-11,900,000","-41,400,000","-267,600,000","373,200,000","116,000,000","93,000,000","89,200,000"
TotalExpenses,"9,392,000,000","9,485,000,000","8,671,000,000","7,960,000,000","7,400,000,000","7,693,000,000","7,576,000,000","7,445,000,000","7,656,000,000","7,269,000,000","6,124,000,000","5,176,000,000","5,508,742,107","3,632,932,764","2,977,632,805","2,581,000,000","2,428,000,000","2,208,000,000","2,110,000,000","2,109,000,000","1,035,000,000","592,500,000","642,800,000","634,100,000","616,400,000","582,800,000","449,200,000","379,800,000"
InterestIncome,,"48,000,000",,"17,000,000","16,000,000","5,000,000","4,000,000","13,000,000","135,000,000","113,000,000","6,000,000","8,000,000",,,,,,,,,,,,,,,,
InterestExpense,"66,000,000","88,000,000","75,000,000","64,000,000","224,000,000","225,000,000","217,000,000","253,000,000","397,000,000","595,000,000","565,000,000","655,000,000",,,,,,,,,,,,,,,,
NetInterestIncome,"-144,000,000","-154,000,000","-151,000,000","-148,000,000","-299,000,000","-257,000,000","-234,000,000","-270,000,000","-409,000,000","-482,000,000","-559,000,000","-647,000,000",,,,,,,,,,,,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"-1,547,000,000","-605,000,000","3,107,000,000","2,509,000,000","1,040,000,000","-2,474,000,000","362,000,000","961,000,000","811,000,000","2,668,000,000","1,860,000,000","1,717,000,000","659,300,631","1,614,857,483","2,431,267,474","1,345,000,000","617,000,000","149,000,000","30,000,000","-21,000,000","85,000,000","45,200,000","-49,100,000","-175,600,000","254,800,000","89,600,000","69,100,000","29,200,000"
NormalizedIncome,"1,430,290,551.611","1,442,710,000","2,569,351,441.242","2,489,850,100.604","1,024,014,127.764","239,695,180.723","397,380,000","973,294,583.08","1,322,500,000","2,396,914,066.251","1,274,283,704.974","1,054,710,227.273","1,110,648,373.255","1,712,107,251.916","2,276,903,200.689","1,236,419,270.833","621,090,100.111","105,009,523.81","24,000,000","43,200,000","47,896,825.397","15,320,000","4,749,359.886","8,066,431.095","34,666,666.667","60,157,977.883","53,604,042.348","38,680,000"
EBIT,"-1,765,000,000","-380,000,000","4,585,000,000","4,040,000,000","1,852,000,000","-3,095,000,000","941,000,000","1,896,000,000","1,882,000,000","4,761,000,000","3,480,000,000","3,295,000,000","1,395,094,707","2,738,107,061","3,561,276,794","1,834,000,000","1,000,000,000","202,000,000","77,000,000","270,000,000","171,000,000","29,600,000","52,600,000","53,900,000","85,900,000","116,000,000","93,000,000","89,200,000"
EBITDA,"-141,000,000"
ReconciledCostOfRevenue,"8,509,000,000","8,594,000,000","7,943,000,000","7,419,000,000","6,904,000,000","6,980,000,000","7,071,000,000","6,956,000,000","7,277,000,000","6,637,000,000","5,784,000,000","4,940,000,000","4,009,227,780","3,300,228,424","2,714,352,283","2,135,000,000","2,029,000,000","1,892,000,000","1,805,000,000","1,751,000,000","833,000,000","451,400,000","501,900,000","487,600,000","475,900,000","457,300,000","357,300,000","301,400,000"
ReconciledDepreciation,"1,624,000,000","1,619,000,000","1,483,000,000","1,467,000,000","1,385,000,000","1,366,000,000","1,344,000,000","1,233,000,000","951,000,000","911,000,000","940,000,000","928,000,000","513,598,834","332,704,340","264,445,480","274,000,000","275,000,000","218,000,000","199,000,000","226,000,000","126,000,000","96,200,000","96,300,000","93,800,000","89,400,000","79,900,000","54,700,000","50,200,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-1,547,000,000","-605,000,000","3,107,000,000","2,509,000,000","1,040,000,000","-2,474,000,000","362,000,000","961,000,000","811,000,000","2,668,000,000","1,860,000,000","1,636,000,000","677,513,356","1,660,542,258","2,395,153,774","1,345,000,000","594,000,000","149,000,000","30,000,000","-21,000,000","85,000,000","45,200,000","-49,100,000","-175,600,000","254,800,000","89,600,000","69,100,000","29,200,000"
TotalUnusualItemsExcludingGoodwill,"-3,533,000,000","-2,786,000,000","771,000,000","30,000,000","25,000,000","-3,627,000,000","-58,000,000","-20,000,000","-682,000,000","408,000,000","861,000,000","789,000,000","-614,375,911","-75,479,194","178,238,583","155,000,000","-41,000,000","62,000,000","7,000,000","-107,000,000","55,000,000","49,800,000","-77,100,000","-266,400,000","330,200,000","41,600,000","23,300,000","-15,800,000"
TotalUnusualItems,"-3,533,000,000","-2,786,000,000","771,000,000","30,000,000","25,000,000","-3,627,000,000","-58,000,000","-20,000,000","-682,000,000","408,000,000","861,000,000","789,000,000","-614,375,911","-75,479,194","178,238,583","155,000,000","-41,000,000","62,000,000","7,000,000","-107,000,000","55,000,000","49,800,000","-77,100,000","-266,400,000","330,200,000","41,600,000","23,300,000","-15,800,000"
NormalizedEBITDA,"3,392,000,000","4,025,000,000","5,297,000,000","5,477,000,000","3,212,000,000","1,898,000,000","2,343,000,000","3,149,000,000","3,515,000,000","5,264,000,000","3,559,000,000","3,434,000,000","2,523,069,452","3,146,290,595","3,647,483,691","1,953,000,000","1,316,000,000","363,000,000","269,000,000","603,000,000","242,000,000","76,000,000","226,000,000","414,100,000","-154,900,000","154,300,000","124,400,000","155,200,000"
TaxRateForCalcs,"0.157","0.265","0.303","0.362","0.361","0.252","0.39","0.385","0.25","0.336","0.32","0.263","0.295","0.317","0.337","0.299","0.339","0.29","0.143","0.4","0.325","0.4","0.302","0.311","0.333","0.292","0.335","0.4"
TaxEffectOfUnusualItems,"-555,709,448.389","-738,290,000","233,351,441.242","10,850,100.604","9,014,127.764","-913,304,819.277","-22,620,000","-7,705,416.92","-170,500,000","136,914,066.251","275,283,704.974","207,710,227.273","-181,240,893.745","-23,914,200.084","59,988,009.689","46,419,270.833","-13,909,899.889","18,009,523.81","1,000,000","-42,800,000","17,896,825.397","19,920,000","-23,250,640.114","-82,733,568.905","110,066,666.667","12,157,977.883","7,804,042.348","-6,320,000"
