name,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996
				MachineryFurnitureEquipment,"573,680,000","549,606,000","514,936,000","489,443,000","455,462,000","419,306,000","358,204,000","295,520,000","253,021,000","231,803,000","208,251,000","187,739,000","169,434,000","150,436,000","60,253,000","59,844,000","54,151,000","65,421,000","96,802,000",,,,,
				OtherProperties,,,,,,,,,,,,,,,"64,109,000","58,977,000","57,948,000","36,505,000",,,,,,
				Leases,"3,135,000","3,114,000","2,595,000","2,551,000","4,384,000","4,600,000","4,971,000","3,993,000","5,420,000","5,056,000","4,276,000",,,,,,,,,,,,,
			AccumulatedDepreciation,"-481,302,000","-455,397,000","-411,427,000","-377,483,000","-340,343,000","-295,364,000","-255,785,000","-222,221,000","-201,202,000","-184,005,000","-171,306,000","-152,527,000","-134,234,000","-116,894,000","-103,832,000","-96,626,000","-84,944,000","-69,624,000","-55,251,000","-40,991,000","-29,700,000","-14,200,000","-14,200,000","-14,200,000"
		GoodwillAndOtherIntangibleAssets,"793,934,000","797,722,000","744,157,000","729,388,000","743,431,000","767,649,000","785,642,000","340,336,000","325,739,000","320,516,000","327,531,000","335,028,000","343,638,000","347,944,000","63,202,000","63,202,000","63,202,000","63,202,000","63,354,000","65,115,000","67,100,000","58,600,000","34,300,000","8,200,000"
			Goodwill,"677,266,000","674,998,000","633,728,000","624,081,000","623,626,000","629,335,000","630,318,000","289,124,000","277,431,000","271,765,000","271,765,000","272,143,000","272,806,000","271,652,000",,,,,,,,,,
			OtherIntangibleAssets,"116,668,000","122,724,000","110,429,000","105,307,000","119,805,000","138,314,000","155,324,000","51,212,000","48,308,000","48,751,000","55,766,000","62,885,000","70,832,000","76,292,000","63,202,000","63,202,000","63,202,000","63,202,000","63,354,000","65,115,000","67,100,000","58,600,000","34,300,000","8,200,000"
		OtherNonCurrentAssets,"6,837,000","31,813,000","32,871,000","33,528,000","34,543,000","37,335,000","12,336,000","9,832,000","11,437,000","12,662,000","15,417,000","16,091,000","14,279,000","16,781,000","54,181,000","151,512,000","16,249,000","16,133,000","17,553,000","24,267,000","12,500,000","11,200,000","6,800,000","5,700,000"
TotalLiabilitiesNetMinorityInterest,"827,358,000","901,473,000","873,772,000","966,575,000","768,336,000","662,184,000","552,620,000","257,765,000","251,311,000","253,443,000","352,011,000","391,114,000","347,450,000","375,025,000","121,182,000","111,181,000","108,615,000","88,269,000","81,331,000","159,305,000","158,800,000","79,900,000","59,800,000","92,900,000"
	CurrentLiabilities,"446,916,000","490,523,000","557,725,000","478,602,000","422,337,000","309,164,000","213,579,000","170,515,000","172,202,000","190,285,000","255,838,000","250,601,000","173,287,000","152,727,000","92,802,000","85,013,000","78,644,000","71,632,000","63,745,000","78,521,000","80,800,000","70,600,000","53,700,000","48,800,000"
		PayablesAndAccruedExpenses,"271,463,000","266,426,000","225,739,000","211,552,000","208,822,000","212,335,000","199,395,000","130,864,000","128,181,000","150,924,000","101,733,000","115,875,000","139,816,000","144,884,000","92,651,000","84,871,000","78,475,000","71,419,000","63,531,000","30,245,000","23,500,000","14,700,000","11,500,000","2,500,000"
			Payables,"171,420,000","145,133,000","121,266,000","110,601,000","114,328,000","116,283,000","113,636,000","96,640,000","95,538,000","81,220,000","55,345,000","54,511,000","69,579,000","56,877,000","36,571,000","36,233,000","30,069,000","31,561,000","25,776,000","30,245,000","23,500,000","14,700,000","11,500,000","2,500,000"
				AccountsPayable,"160,110,000","145,133,000","121,266,000","110,601,000","114,328,000","116,283,000","113,636,000","96,640,000","95,538,000","81,220,000","55,345,000","54,511,000","69,579,000","56,877,000","36,571,000","36,233,000","30,069,000","31,561,000","25,776,000","30,245,000","23,500,000","14,700,000","11,500,000","2,500,000"
				TotalTaxPayable,"11,310,000",,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"100,043,000","121,293,000","104,473,000","100,951,000","94,494,000","96,052,000","85,759,000","34,224,000","32,643,000","69,704,000","46,388,000","61,364,000","70,237,000","88,007,000","56,080,000","48,638,000","48,406,000","39,858,000","37,755,000",,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,"38,644,000","44,021,000",,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"175,453,000","224,097,000","331,986,000","267,050,000","213,515,000","96,829,000","14,184,000","1,007,000",,"39,361,000","154,105,000","134,726,000","33,471,000","7,843,000","151,000","142,000","169,000","213,000","214,000","244,000","300,000","800,000","200,000","13,300,000"
			CurrentDebt,"175,453,000","224,097,000","331,986,000","267,050,000","213,515,000","96,829,000","14,184,000",,,"39,361,000","154,105,000","134,726,000","33,471,000","7,843,000","151,000","142,000","169,000","213,000","214,000","244,000","300,000","800,000","200,000","13,300,000"
