name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
				AmortizationOfIntangiblesIncomeStatement,"740,000,000","699,000,000","599,000,000","565,000,000","545,000,000","495,000,000","438,000,000","410,000,000","395,000,000","421,000,000","513,000,000","511,000,000","543,000,000","641,000,000","530,000,000","152,000,000","112,000,000","89,000,000","72,000,000","136,000,000",,,,,,,,,,
	OtherOperatingExpenses,"61,000,000","65,000,000","70,000,000","68,000,000","79,000,000","70,000,000","111,000,000","140,000,000","153,000,000","-730,000,000","-248,000,000","16,000,000","-250,000,000","1,127,000,000","231,000,000","1,007,000,000","270,000,000","69,000,000","-63,000,000",,,,,,,,,,,
OperatingIncome,"1,548,000,000","1,740,000,000","1,659,000,000","1,531,000,000","1,319,000,000","990,000,000","902,000,000","884,000,000","931,000,000","1,718,000,000","1,238,000,000","-798,000,000","1,490,000,000","247,000,000","1,170,000,000","1,244,000,000","1,639,000,000","734,000,000","695,000,000","382,000,000","675,000,000","725,000,000","-222,400,000","414,800,000","341,800,000","285,000,000","130,000,000","108,600,000","92,800,000","70,500,000"
NetNonOperatingInterestIncomeExpense,"-428,000,000","-443,000,000","-238,000,000","-224,000,000","-228,000,000","-279,000,000","-211,000,000","-318,000,000","-256,000,000","-281,000,000","-393,000,000","-407,000,000","-468,000,000",,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"24,000,000","30,000,000","3,000,000","5,000,000","5,000,000","5,000,000","5,000,000","6,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"452,000,000","473,000,000","241,000,000","229,000,000","233,000,000","284,000,000","216,000,000","324,000,000","261,000,000","281,000,000","393,000,000","407,000,000","468,000,000",,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-870,000,000","-612,000,000","-1,000,000","-375,000,000","-914,000,000","-1,361,000,000","-1,200,000,000","-789,000,000","-4,782,000,000","-795,000,000","-1,908,000,000","-103,000,000","-3,053,000,000","-1,373,000,000","-4,568,000,000","-1,270,000,000","-351,000,000","-114,000,000","-40,000,000","-279,000,000","-78,000,000","-49,000,000","14,700,000","-141,900,000","-33,600,000","-191,000,000","1,000,000","3,000,000","1,600,000","200,000"
	GainOnSaleOfSecurity,"-438,000,000","-388,000,000","166,000,000","-107,000,000","-34,000,000","-30,000,000","9,000,000","-20,000,000","19,000,000",,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-426,000,000","-223,000,000","-153,000,000","-246,000,000","-872,000,000","-1,317,000,000","-1,203,000,000","-764,000,000","-4,799,000,000","-795,000,000","-1,908,000,000","-103,000,000","-3,053,000,000","-1,373,000,000","-4,568,000,000","-1,270,000,000","-351,000,000","-114,000,000","-40,000,000","-279,000,000","-78,000,000","-49,000,000","14,700,000","-141,900,000","-33,600,000","-191,000,000","1,000,000","3,000,000","1,600,000","200,000"
		RestructuringAndMergernAcquisition,"-73,000,000","3,000,000","15,000,000","-43,000,000","57,000,000","149,000,000","-16,000,000","105,000,000","130,000,000","89,000,000","116,000,000","63,000,000","-172,000,000","176,000,000",,,,,,,,,,,,,,,,
