name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005
			Goodwill,"58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000","58,094,000",,,,,,,,,,"0","0","0","0","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","6,776,000","37,225,000",
			OtherIntangibleAssets,"1,018,045,000","1,058,915,000","1,171,947,000","1,218,095,000","1,323,272,000","1,383,666,000","1,470,459,000","1,559,175,000","1,676,811,000","1,799,276,000","1,978,654,000","2,147,554,000","2,357,851,000","2,506,932,000","2,774,749,000","3,013,094,000","3,246,109,000","3,541,957,000","3,847,785,000","4,060,979,000","4,261,009,000","4,371,641,000","4,676,042,000","4,719,034,000",,"9,354,000",,,,"18,100,000",,"23,825,000","26,700,000","29,677,000","34,232,000","48,809,000","53,364,000","58,637,000","64,568,000","70,498,000","80,177,000","31,399,000","34,602,000","37,893,000","42,309,000","47,099,000","50,888,000","54,788,000","45,427,000","41,855,000","43,161,000","46,100,000","49,080,000","34,229,000","30,455,000","38,571,000"
		InvestmentsAndAdvances,"1,103,465,000","1,134,828,000","1,162,488,000","1,138,200,000","1,128,299,000","1,135,398,000","1,153,990,000","1,177,121,000","1,157,996,000","1,118,635,000","1,108,446,000","953,409,000","884,054,000","874,665,000","868,856,000","778,202,000","749,317,000","583,909,000","548,815,000","545,593,000","531,667,000","462,645,000","374,058,000","376,936,000","147,640,000","144,375,000","145,647,000","141,430,000","116,251,000","115,212,000","113,028,000","88,694,000","84,968,000","84,079,000","81,686,000","78,345,000","78,138,000","103,054,000","58,944,000","61,467,000","54,695,000","55,563,000","54,436,000","54,933,000","48,830,000","49,249,000",,,,,,,,,,
			LongTermEquityInvestment,,"123,279,000",,,,"132,112,000",,,,,,,,"118,777,000",,,,"114,705,000",,,,"115,548,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,,"123,279,000",,,,"132,112,000",,,,,,,,"118,777,000",,,,"114,705,000",,,,"115,548,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,426,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,"1,103,465,000","1,011,549,000","1,162,488,000","1,138,200,000","1,128,299,000","1,003,286,000","1,153,990,000","1,177,121,000","1,157,996,000","1,118,635,000","1,108,446,000","953,409,000","884,054,000","755,888,000","868,856,000","778,202,000","749,317,000","469,204,000","548,815,000","545,593,000","531,667,000","347,097,000","374,058,000","376,936,000","147,640,000","144,375,000","145,647,000","141,430,000","116,251,000","115,212,000","90,602,000",,,,,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,"1,839,000","11,664,000","9,574,000","11,232,000","39,047,000","69,105,000","120,853,000","104,393,000","90,312,000","48,896,000","29,985,000","27,482,000","36,296,000","37,187,000","11,789,000","10,032,000","13,488,000","18,965,000","15,248,000","20,100,000","127,918,000","24,549,000","24,346,000","20,558,000","28,779,000","32,673,000","29,526,000","30,656,000","14,648,000","9,993,000","10,176,000","13,102,000","18,629,000","21,050,000","24,165,000","58,873,000","85,183,000","55,211,000","23,981,000","23,447,000","30,105,000","44,866,000","38,572,000","40,035,000","19,631,000","19,352,000",,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,817,000",,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,105,000","4,110,000","4,282,000","5,200,000","7,073,000","14,531,000","18,153,000","15,497,000","7,939,000","9,861,000","50,379,000","138,488,000","141,628,000","136,084,000","127,440,000","134,067,000",,,,,,,,,,
		NonCurrentDeferredAssets,"128,991,000","121,470,000","175,749,000","178,201,000","176,582,000","175,095,000","185,407,000","200,915,000","196,609,000","194,475,000","253,547,000","249,412,000","251,413,000","249,145,000","196,410,000","200,281,000","204,523,000","371,697,000","344,445,000","349,734,000","349,475,000","393,994,000","362,308,000","442,144,000","126,250,000","269,978,000","198,505,000","210,161,000","207,977,000","213,078,000","83,678,000","85,531,000","86,771,000","91,258,000","101,235,000","85,613,000","89,680,000","94,560,000","102,117,000","108,080,000","111,362,000","80,098,000","80,463,000","81,187,000","81,231,000","82,471,000","76,091,000","78,617,000","82,392,000","85,253,000","91,897,000","92,132,000","88,939,000","101,477,000","98,980,000","99,346,000"
			NonCurrentDeferredTaxesAssets,"106,267,000","95,077,000","152,428,000","150,951,000","142,918,000","138,281,000","144,689,000","147,513,000","147,785,000","151,234,000","214,973,000","215,602,000","215,396,000","215,445,000","162,029,000","161,297,000","160,894,000","161,193,000","149,571,000","150,218,000","150,932,000","190,029,000","171,119,000","256,130,000","126,250,000","121,663,000","65,251,000","72,882,000","79,811,000","79,726,000","83,678,000","85,531,000","86,771,000","91,258,000","101,235,000","85,613,000","89,680,000","94,560,000","102,117,000","108,080,000","111,362,000","80,098,000","80,463,000","81,187,000","81,231,000","82,471,000","76,091,000","78,617,000","82,392,000","85,253,000","91,897,000","92,132,000","88,939,000","101,477,000","98,980,000","99,346,000"
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,723,000","71,324,000","102,741,000","95,619,000","81,524,000","129,042,000","130,784,000","199,417,000","197,616,000","265,736,000","411,351,000","527,666,000",,"576,754,000","539,572,000",,,,,,,,,,,
		OtherNonCurrentAssets,"320,676,000","338,050,000","316,235,000","311,867,000","325,447,000","331,753,000","338,951,000","331,461,000","319,836,000","320,339,000","292,824,000","293,953,000","277,651,000","288,318,000","292,126,000","281,232,000","259,097,000","247,391,000","209,894,000","191,019,000","169,726,000","155,491,000",,,"187,324,000","184,022,000",,,,"157,851,000","161,320,000","191,394,000","209,357,000","206,453,000","772,633,000","235,508,000","243,879,000","209,141,000","203,715,000","175,724,000","176,193,000","172,705,000","184,975,000","317,521,000","182,134,000","628,695,000","261,349,000","247,173,000","172,791,000","178,264,000","341,786,000","177,968,000","147,344,000","128,303,000","100,945,000","73,913,000"
