name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010
	DepreciationAmortizationDepletionIncomeStatement,"165,144,000","41,680,000","41,767,000","40,620,000","41,077,000","40,580,000","39,472,000","39,659,000","39,928,000","39,773,000","37,754,000","36,442,000","35,201,000","33,613,000","33,958,000","36,418,000","36,752,000","27,975,000","18,630,000","16,890,000","14,926,000","13,104,000","10,971,000","10,325,000","5,935,000","5,436,000","4,842,000","4,414,000","4,212,000","3,622,000","2,650,000","2,076,000","1,646,000","1,615,000","1,174,000","913,000","1,956,000","243,000","248,000","248,000"
		DepreciationAndAmortizationInIncomeStatement,"165,144,000","41,680,000","41,767,000","40,620,000","41,077,000","40,580,000","39,472,000","39,659,000","39,928,000","39,773,000","37,754,000","36,442,000","35,201,000","33,613,000","33,958,000","36,418,000","36,752,000","27,975,000","18,630,000","16,890,000","14,926,000","13,104,000","10,971,000","10,325,000","5,935,000","5,436,000","4,842,000","4,414,000","4,212,000","3,622,000","2,650,000","2,076,000","1,646,000","1,615,000","1,174,000","913,000","1,956,000","243,000","248,000","248,000"
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"662,000",,,,"617,000"
	OtherOperatingExpenses,"380,097,000","98,529,000","93,916,000","92,975,000","94,677,000","93,865,000","88,521,000","90,464,000","87,282,000","88,231,000","82,666,000","82,328,000","83,122,000","83,711,000","81,606,000","79,748,000","80,955,000","70,247,000","57,847,000","57,244,000","51,128,000","40,527,000","31,466,000","31,432,000","24,646,000","23,110,000","21,148,000","22,345,000","20,096,000","16,983,000","12,009,000","11,380,000","10,407,000","9,140,000","7,518,000","5,018,000","5,959,000","1,886,000","1,890,000","1,736,000"
OperatingIncome,"397,566,000","84,862,000","96,302,000","101,979,000","113,627,000","89,322,000","91,707,000","104,040,000","117,957,000","99,039,000","111,300,000","111,639,000","119,583,000","95,360,000","108,200,000","112,275,000","128,586,000","96,081,000","87,323,000","86,251,000","85,522,000","61,714,000","52,372,000","51,936,000","36,373,000","32,082,000","32,850,000","32,736,000","31,091,000","26,318,000","23,201,000","17,744,000","17,491,000","12,315,000","-18,372,000","6,514,000","-16,954,000","-305,000","2,133,000","2,012,000"
NetNonOperatingInterestIncomeExpense,"-181,749,000","-42,785,000","-43,710,000","-46,644,000","-48,610,000","-48,130,000","-47,704,000","-46,651,000","-45,812,000","-45,243,000","-45,230,000","-44,515,000","-43,505,000","-42,757,000","-46,010,000","-48,843,000","-48,758,000","-37,714,000","-28,810,000","-27,737,000","-28,049,000","-22,146,000","-14,716,000","-14,068,000","-9,730,000","-9,707,000","-9,578,000","-9,465,000","-9,445,000","-8,762,000","-7,583,000","-7,433,000","-7,471,000","-7,282,000","-5,048,000","-1,928,000","-1,992,000","-223,000","-189,000","-191,000"
	InterestExpenseNonOperating,"181,749,000","42,785,000","43,710,000","46,644,000","48,610,000","48,130,000","47,704,000","46,651,000","45,812,000","45,243,000","45,230,000","44,515,000","43,505,000","42,757,000","46,010,000","48,843,000","48,758,000","37,714,000","28,810,000","27,737,000","28,049,000","22,146,000","14,716,000","14,068,000","9,730,000","9,707,000","9,578,000","9,465,000","9,445,000","8,762,000","7,583,000",,"7,471,000",,,,,,,
	TotalOtherFinanceCost,"191,095,000",,"43,710,000","46,644,000","48,610,000","48,130,000","47,704,000","46,651,000","45,812,000","45,243,000","45,230,000","44,515,000","43,505,000","42,757,000","46,010,000","48,843,000","48,758,000","37,714,000","28,810,000","27,737,000","28,049,000","22,146,000","14,716,000","14,068,000","9,730,000","9,707,000","9,578,000","9,465,000","9,445,000","8,762,000","7,583,000","7,433,000","7,471,000","7,282,000",,"1,928,000","1,992,000","223,000","189,000","191,000"
OtherIncomeExpense,"-76,844,000","-2,221,000","-62,840,000","-5,775,000","-5,212,000","-4,321,000","-385,339,000","-2,353,000","-2,887,000","-5,708,000","-5,431,000","-5,665,000","-9,862,000","-4,119,000","-19,752,000","-179,246,000","-5,976,000","-25,888,000","-5,995,000","-16,839,000","-8,118,000","-18,363,000","-2,816,000","-4,712,000","10,719,000","-1,579,000","-3,337,000","-984,000","-1,355,000","-10,824,000","-6,015,000",,,,,,,,,
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,"0","15,000","98,000","410,000","0","-1,018,000","-961,000","53,000","0","1,527,000","13,735,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-76,844,000","-2,221,000","-62,840,000","-5,775,000","-5,212,000","-4,321,000","-385,339,000","-2,353,000","-2,887,000","-5,708,000","-5,431,000","-5,665,000","-9,862,000","-4,119,000","-19,752,000","-179,261,000","-6,074,000","-26,298,000","-5,995,000","-15,821,000","-7,157,000","-18,416,000","-2,816,000","-6,239,000","-3,016,000","-1,579,000","-3,337,000","-984,000","-1,355,000","-10,824,000","-6,015,000",,,,,,,,,
		RestructuringAndMergernAcquisition,"22,458,000","2,221,000","8,454,000","5,775,000","5,212,000","4,321,000","24,499,000","2,353,000","2,887,000","4,768,000","5,431,000","5,665,000","9,052,000","4,119,000","14,840,000","1,111,000","6,074,000","26,298,000","5,156,000","5,842,000","7,157,000","18,416,000","2,816,000","6,239,000","3,016,000","1,579,000","3,337,000","984,000","1,355,000","1,474,000","6,015,000",,,,,,,,,
		ImpairmentOfCapitalAssets,,,"54,386,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,"337,889,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,"22,951,000",,,"940,000","0",,"810,000",,"842,000","3,411,000",,,"839,000","9,979,000",,,,,,,"0",,,"9,350,000",,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,"0","0",,,"-4,070,000","-174,739,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"138,973,000","39,856,000","-10,248,000","49,560,000","59,805,000","36,871,000","-341,336,000","55,036,000","69,258,000","48,088,000","60,639,000","61,459,000","66,216,000","48,484,000","42,438,000","-115,814,000","73,852,000","32,479,000","52,518,000","41,675,000","49,355,000","21,205,000","34,840,000","33,156,000","37,362,000","20,796,000","19,935,000","22,287,000","20,291,000","6,732,000","7,506,000","10,311,000","10,020,000","5,033,000","-23,420,000","4,586,000","-18,946,000","-528,000","1,026,000","1,821,000"
TaxProvision,"24,295,000","5,789,000","65,000","6,837,000","11,604,000","7,360,000","-9,807,000","8,757,000","10,368,000","-2,786,000","-9,050,000","15,970,000","16,578,000","13,711,000","1,012,000","2,396,000","18,261,000","7,110,000","18,594,000","12,669,000","15,512,000","6,613,000","12,539,000","7,703,000","14,905,000","7,775,000","7,536,000","7,741,000","8,020,000","2,678,000","3,018,000","3,723,000","3,919,000","1,665,000","-8,765,000","864,000","2,789,000","-271,000","18,000","172,000"
NetIncomeCommonStockholders,"112,915,000","33,463,000","-11,254,000","42,566,000","48,140,000","29,471,000","-331,637,000","46,232,000","58,836,000","50,819,000","69,629,000","45,618,000","49,630,000","34,958,000","41,818,000","-117,808,000","56,445,000","25,688,000","34,566,000","29,550,000","33,844,000","14,594,000","22,129,000","25,402,000","22,451,000","13,058,000","12,280,000","14,364,000","12,197,000","3,738,000","4,365,000","6,450,000","5,909,000","3,679,000","-15,909,000","3,123,000","-21,857,000","-249,000","524,000","1,566,000"
	NetIncome,"112,915,000","33,463,000","-11,254,000","42,566,000","48,140,000","29,471,000","-331,637,000","46,232,000","58,836,000","50,819,000","69,629,000","45,618,000","49,630,000","34,958,000","41,818,000","-117,808,000","56,445,000","25,688,000","34,566,000","29,550,000","33,844,000","14,594,000","22,129,000","25,402,000","22,451,000","13,058,000","12,280,000","14,364,000","12,197,000","3,738,000","4,365,000","6,450,000","5,909,000","3,679,000","-15,909,000","3,123,000","-21,857,000","-249,000","524,000","1,566,000"
