name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
		PensionandOtherPostRetirementBenefitPlansCurrent,,"157,000,000","35,000,000","36,000,000","38,000,000","38,000,000","39,000,000","40,000,000","173,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,,"5,000,000","3,000,000","169,000,000","34,000,000","4,000,000","9,000,000","32,000,000","6,000,000","20,000,000","46,000,000","57,000,000","1,440,000,000","19,000,000","42,000,000","97,000,000","105,000,000","109,000,000","118,000,000","227,000,000","91,000,000","143,000,000","116,000,000","99,000,000","175,000,000","106,000,000","81,000,000","24,000,000","214,000,000","281,000,000","129,000,000","153,000,000"
			CurrentDebt,,,"5,000,000","3,000,000","169,000,000","34,000,000","4,000,000","9,000,000","32,000,000","6,000,000","20,000,000","46,000,000","57,000,000","1,440,000,000","19,000,000","42,000,000","97,000,000","105,000,000","109,000,000","118,000,000","227,000,000","91,000,000","143,000,000","116,000,000","99,000,000","175,000,000","106,000,000","81,000,000","24,000,000","214,000,000","281,000,000","129,000,000","153,000,000"
		CurrentDeferredLiabilities,,,"10,000,000","11,000,000","9,000,000","0","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,,,"10,000,000","11,000,000","9,000,000","0","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,,"270,000,000",,,,,,,,"7,000,000",,"8,000,000","40,000,000",,"735,000,000",,,,,,"1,850,000,000","850,000,000","350,000,000","300,000,000","250,000,000","300,000,000","275,000,000","64,000,000","15,000,000","21,000,000","25,000,000","456,000,000","427,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"4,006,000,000","4,169,000,000","3,146,000,000","2,889,000,000","2,484,000,000","2,842,000,000","2,825,000,000","3,087,000,000","2,878,000,000","2,517,000,000","3,371,000,000","3,185,000,000","2,601,000,000","2,180,000,000","15,049,000,000","10,719,000,000","10,771,000,000","10,478,000,000","7,772,000,000","7,663,000,000","4,415,000,000","4,333,000,000","4,106,000,000","3,255,000,000","2,537,000,000","2,881,000,000",,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"3,124,000,000","3,362,000,000","2,405,000,000","2,099,000,000","1,702,000,000","1,991,000,000","2,024,000,000","2,076,000,000","1,930,000,000","1,629,000,000","2,177,000,000","2,172,000,000","1,993,000,000","1,296,000,000","36,000,000","38,000,000","73,000,000","71,000,000","5,000,000","7,000,000","1,764,000,000","1,535,000,000","1,595,000,000","818,000,000","794,000,000","1,037,000,000","898,000,000","1,018,000,000","1,148,000,000","1,086,000,000","1,201,000,000","1,315,000,000","1,482,000,000"
			LongTermDebt,"2,986,000,000","3,362,000,000","2,405,000,000","2,099,000,000","1,702,000,000","1,991,000,000","2,024,000,000","2,076,000,000","1,930,000,000","1,629,000,000","2,177,000,000","2,172,000,000","1,993,000,000","1,296,000,000","36,000,000","38,000,000","73,000,000","71,000,000","5,000,000","7,000,000","1,764,000,000","1,535,000,000","1,595,000,000","818,000,000","794,000,000","1,037,000,000","898,000,000","1,018,000,000","1,148,000,000","1,086,000,000","1,201,000,000","1,315,000,000","1,482,000,000"
			LongTermCapitalLeaseObligation,"138,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
