name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
		RetainedEarnings,"2,372,400,000","2,110,300,000","1,856,100,000","1,789,200,000","1,696,700,000","1,445,100,000","1,320,300,000","898,800,000","852,000,000","5,409,000,000","4,736,800,000","4,203,000,000","3,528,800,000","3,024,900,000","2,666,000,000","2,589,100,000","2,277,100,000","1,939,100,000","1,514,000,000","1,306,900,000","1,113,800,000","1,271,500,000","188,500,000","151,400,000",,"6,749,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-385,300,000","-375,500,000","-348,200,000","-451,200,000","-424,100,000","-321,200,000","-210,300,000","-287,500,000","-251,000,000","-1,087,000,000","-1,040,100,000","-1,323,700,000","235,300,000","-342,700,000","-127,200,000","-338,400,000","-521,700,000","-893,600,000","-227,000,000","-183,600,000","-102,600,000",,,,,"-1,489,000,000"
			UnrealizedGainLoss,,,,,,,,,"-1,000,000","12,000,000","12,100,000","600,000",,,,,,,,,,,,,,
			MinimumPensionLiabilities,"-133,300,000","-131,600,000","-137,600,000","-145,200,000","-153,700,000","-144,200,000","-129,200,000","-195,500,000","-153,000,000",,,,,,,,,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,"-252,000,000","-243,900,000","-210,600,000","-306,000,000","-270,100,000","-176,700,000","-80,800,000","-91,700,000","-97,000,000","-74,000,000","336,000,000","209,800,000","431,000,000","154,900,000","-6,300,000","182,600,000",,,,,,,,,,
			OtherEquityAdjustments,,,,,"-300,000","-300,000","-300,000","-300,000",,"-1,025,000,000","-1,388,200,000","-1,534,100,000","-195,700,000","-497,600,000","-120,900,000","-521,000,000",,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,"28,500,000","633,800,000","647,800,000",,"-562,000,000"
	MinorityInterest,"2,900,000","2,500,000","1,700,000","2,000,000","3,300,000","5,400,000","5,900,000",,,,,,,,,,,,,,,,,,,
TotalCapitalization,"2,074,900,000","1,822,400,000","1,596,100,000","1,426,400,000","1,362,100,000","1,214,900,000","1,201,000,000","703,200,000","698,000,000","5,859,000,000","5,309,100,000","3,527,800,000","4,427,800,000","3,365,200,000","3,239,700,000","2,885,800,000","2,308,600,000","1,629,500,000","1,832,200,000","1,619,600,000","1,577,900,000","1,815,500,000","1,354,500,000","1,382,400,000","1,588,000,000","5,459,000,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,"655,000,000"
