name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
	SellingGeneralAndAdministration,"17,002,471,000,000","17,002,471,000,000","16,535,004,000,000","13,228,181,000,000","5,969,976,000,000","5,461,006,000,000","4,815,705,000,000","4,783,723,000,000","5,174,821,000,000","3,589,315,000,000","5,155,978,000,000","4,362,346,000,000","4,410,476,000,000","2,281,117,046,034.47","1,959,038,404,411.44","2,169,721,195,907.6","1,644,377,000,000","1,737,585,000,000","1,586,259,785,937.54","1,058,520,370,530.3","484,278,127,740",
		GeneralAndAdministrativeExpense,"16,773,645,000,000","16,773,645,000,000","16,317,760,000,000","13,028,505,000,000","5,827,790,000,000","5,461,006,000,000","4,815,705,000,000","4,783,723,000,000","5,174,821,000,000","3,589,315,000,000","5,155,978,000,000","3,491,923,000,000","3,584,041,000,000","2,281,117,046,034.47","1,959,038,404,411.44","2,169,721,195,907.6","1,644,377,000,000","1,737,585,000,000","1,586,259,785,937.54","1,058,520,370,530.3","444,465,232,770",
			SalariesAndWages,"3,955,287,000,000","3,955,287,000,000","3,874,382,000,000","3,768,586,000,000","3,755,620,000,000","3,126,267,000,000","2,593,496,000,000","2,533,638,000,000","2,473,975,000,000","1,870,864,000,000","2,781,645,000,000","2,217,554,000,000","2,334,983,000,000","2,281,117,046,034.47","1,959,038,404,411.44","2,169,721,195,907.6","1,644,377,000,000","1,737,585,000,000","1,586,259,785,937.54","1,058,520,370,530.3","444,465,232,770",
			RentAndLandingFees,"109,745,000,000","109,745,000,000","361,344,000,000","320,920,000,000","280,888,000,000","273,531,000,000","297,656,000,000","290,886,000,000","276,813,000,000",,,,,,,,,,,,,
			InsuranceAndClaims,"12,017,670,000,000","12,017,670,000,000","11,484,954,000,000","8,377,282,000,000","1,319,155,000,000","1,478,987,000,000","1,352,384,000,000","1,358,830,000,000","1,822,178,000,000",,"1,093,482,000,000","804,195,000,000",,,,,,,,,,
			OtherGandA,"690,943,000,000","690,943,000,000","597,080,000,000","561,717,000,000","472,127,000,000","582,221,000,000","572,169,000,000","600,369,000,000","601,855,000,000","1,718,451,000,000","2,374,333,000,000","1,274,369,000,000","1,249,058,000,000",,,,,,,,,
		SellingAndMarketingExpense,"228,826,000,000","228,826,000,000","217,244,000,000","199,676,000,000","142,186,000,000",,,,,,"948,737,000,000","870,423,000,000","826,435,000,000",,,,,,,,"39,812,894,970",
	DepreciationAmortizationDepletionIncomeStatement,"784,431,000,000","784,431,000,000","408,771,000,000","370,378,000,000","288,620,000,000","257,306,000,000","261,056,000,000","286,756,000,000","328,365,000,000","342,493,000,000","359,568,000,000","431,007,000,000","407,187,000,000",,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"784,431,000,000","784,431,000,000","408,771,000,000","370,378,000,000","288,620,000,000","257,306,000,000","261,056,000,000","286,756,000,000","328,365,000,000","342,493,000,000","359,568,000,000","431,007,000,000","407,187,000,000",,,,,,,,,
	OtherNonInterestExpense,"2,179,271,000,000","2,179,271,000,000","1,926,025,000,000","1,638,336,000,000","1,386,293,000,000","1,333,286,000,000","1,278,457,000,000","1,368,611,000,000","1,384,558,000,000",,"633,430,000,000","948,738,000,000","503,166,000,000","2,855,359,556,615.16","2,354,451,336,768.63","2,098,304,187,788.77","2,250,856,000,000","2,882,635,000,000","2,801,123,367,968.14","936,827,860,376.7","3,020,165,605,597.5",
IncomefromAssociatesandOtherParticipatingInterests,"16,451,000,000","16,451,000,000","24,260,000,000","84,274,000,000","280,838,000,000","203,097,000,000","13,428,000,000","-199,392,000,000","-13,536,000,000",,"13,531,000,000","267,922,000,000","90,391,000,000",,,,,,,,,
SpecialIncomeCharges,"-78,453,000,000","-78,453,000,000","-106,528,000,000",,"587,488,000,000","-48,730,000,000","-55,378,000,000","-60,778,000,000","-75,979,000,000",,"-120,263,000,000","202,526,000,000",,,,,,,,,"-30,098,609,280",
	ImpairmentOfCapitalAssets,"0","0","0",,"628,614,000,000",,,,,,"120,263,000,000","156,557,000,000",,,,,,,,,,
	WriteOff,"0","0","0",,,,,,,,,,,,,,,,,,,
	OtherSpecialCharges,"78,453,000,000","78,453,000,000","106,528,000,000",,"41,126,000,000","48,730,000,000","55,378,000,000","60,778,000,000","75,979,000,000",,,"-45,969,000,000",,,,,,,,,,
OtherNonOperatingIncomeExpenses,"20,270,000,000","20,270,000,000","-54,380,000,000","38,876,000,000","67,534,000,000","164,828,000,000","-25,783,000,000","39,854,000,000","-64,904,000,000","-137,528,000,000","-274,000,000","-154,000,000",,,,,,,,,,
PretaxIncome,"4,533,986,000,000","4,533,986,000,000","4,301,532,000,000","4,138,424,000,000","2,628,655,000,000","2,164,695,000,000","1,901,425,000,000","1,815,291,000,000","2,261,328,000,000","3,260,806,000,000","-288,416,000,000","926,053,000,000","1,786,785,000,000","4,964,348,325,131.16","4,306,756,839,577.17","3,775,492,156,786.15","1,429,405,000,000","-1,378,032,500,000","1,751,837,484,576.38","1,572,024,970,999.95","1,044,420,983,482.5","808,161,000,000"
