name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2009,09/30/2009,06/30/2009,03/31/2009
DilutedEPS,,"0.04","0.1","0.12","0.11","0.06","0.1","0.08","0.73","0.12","0.07","0.045","0.053","0.03","-0.27","0.09","0.05","0.08","0.1","0.059","0.171","0.067","0.141","0.053","0.103",,"0.062","0.249","0.24",,"0.311","0.321","0.227","0.157","0.199","0.118","0.123"
BasicAverageShares,,"1,280,160,000","1,280,586,000","1,279,617,000","1,278,283,000","1,278,064,000","1,275,721,000","1,276,257,000","1,276,349,000","1,277,099,000","1,277,588,000","1,274,666,000","1,276,098,000","1,274,195,000","1,274,069,000","1,272,949,000","1,272,930,000","1,200,000,000","1,272,662,000","1,271,186,441","1,267,508,772","1,273,492,537","1,274,673,759","1,268,716,981","1,274,368,932",,"1,255,645,161","1,269,771,084","1,272,283,333",,"1,270,311,897","1,269,928,349","1,268,671,053","1,291,155,548","1,291,155,548","1,291,155,548","1,291,155,548"
DilutedAverageShares,,"1,281,811,000","1,283,675,000","1,283,008,000","1,282,689,000","1,283,152,000","1,278,780,000","1,278,222,000","1,277,595,000","1,277,947,000","1,279,202,000","1,275,175,000","1,276,975,000","1,274,791,000","1,274,069,000","1,273,812,000","1,273,499,000","1,200,000,000","1,273,184,000","1,271,186,441","1,267,508,772","1,273,492,537","1,274,673,759","1,268,716,981","1,274,368,932",,"1,255,645,161","1,269,771,084","1,272,283,333",,"1,270,311,897","1,269,928,349","1,274,259,912","1,291,155,548","1,291,155,548","1,291,155,548","1,291,155,548"
TotalOperatingIncomeAsReported,"756,000,000","88,000,000","201,000,000","240,000,000","227,000,000","166,000,000","196,000,000","172,000,000","985,000,000","189,000,000","180,000,000","144,000,000","116,000,000","72,000,000","-331,000,000","149,000,000","107,000,000","146,000,000","197,000,000","107,000,000","314,511,000","174,393,000","262,278,000","77,747,000","243,252,000","123,001,000","222,462,000","392,895,000","363,008,000","213,323,000","483,101,000","537,194,000","342,897,000",,,,
TotalExpenses,"4,527,000,000","1,030,000,000","1,124,000,000","1,185,000,000","1,188,000,000","2,066,000,000","1,175,000,000","1,199,000,000","419,000,000","1,194,000,000","1,260,000,000","1,178,000,000","1,179,000,000","777,000,000","1,714,000,000","1,228,000,000","1,158,000,000","1,395,000,000","1,182,000,000","1,089,000,000","1,088,256,000","1,049,559,000","1,297,189,000","1,457,797,000","1,369,421,000","1,286,930,000","1,222,498,000","1,377,171,000","1,277,433,000","1,290,887,000","1,279,360,000","1,369,460,000","1,156,431,000","973,459,000","1,060,540,000","892,023,000","693,745,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"475,000,000","48,000,000","130,000,000","158,000,000","139,000,000","82,000,000","129,000,000","101,000,000","928,000,000","155,000,000","84,000,000","57,000,000","68,000,000","32,000,000","-340,000,000","120,000,000","66,000,000","96,000,000","121,000,000","75,000,000","216,744,000","85,324,000","179,729,000","67,242,000","131,260,000","119,202,000","77,850,000","316,173,000","305,348,000","208,552,000","395,067,000","407,647,000","289,257,000","202,744,000","256,607,000","152,316,000","158,753,000"
NormalizedIncome,"457,290,000","48,000,000","130,000,000","158,000,000","139,000,000","82,000,000","129,000,000","101,000,000","928,000,000","155,000,000","84,000,000","57,000,000","68,000,000","32,000,000","-340,000,000","120,000,000","66,000,000","96,000,000","121,000,000","75,000,000","216,744,000","85,324,000","179,729,000","67,242,000","131,260,000","119,202,000","77,850,000","316,173,000","305,348,000","208,552,000","395,067,000","407,647,000","289,257,000","202,016,295.445","254,935,360.551","152,220,668.305","158,162,256.168"
InterestIncome,"8,000,000","-83,000,000","35,000,000","12,000,000","44,000,000",,"19,000,000","22,000,000","25,000,000",,"25,000,000","33,000,000","77,000,000","-13,000,000","35,000,000","17,000,000","14,000,000","-44,000,000","23,000,000","67,000,000","73,558,000","-79,472,000","59,238,000","14,991,000","7,217,000","-77,221,000","38,491,000","8,837,000","40,938,000","13,461,000","4,115,000","4,442,000","8,715,000","24,818,000","13,767,000","10,286,000","40,668,000"
InterestExpense,"109,000,000","-86,000,000","67,000,000","49,000,000","79,000,000","-30,000,000","42,000,000","76,000,000","40,000,000","-84,000,000","61,000,000","82,000,000","91,000,000","3,000,000","80,000,000","57,000,000","42,000,000","-44,000,000","72,000,000","81,000,000","89,003,000","-84,979,000","80,130,000","65,783,000","25,802,000","-58,642,000","41,922,000","24,923,000","42,729,000","-26,930,000","22,116,000","32,927,000","26,081,000","19,371,000","37,846,000","8,110,000","18,097,000"
NetInterestIncome,"-140,000,000","-36,000,000","-32,000,000","-37,000,000","-35,000,000","-14,000,000","-23,000,000","-54,000,000","-15,000,000","-52,000,000","-36,000,000","-49,000,000","-14,000,000","-37,000,000","-45,000,000","-40,000,000","-28,000,000","-23,000,000","-49,000,000","-14,000,000","-15,445,000","6,540,000","-20,892,000","-50,792,000","-18,585,000","-65,049,000","-3,431,000","-16,086,000","-1,791,000","6,170,000","-18,001,000","-28,485,000","-17,366,000","5,447,000","-24,079,000","2,176,000","22,571,000"
