name,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994
			WorkInProcess,"133,885,000","118,010,000","103,790,000","109,756,000","91,501,000","93,836,000","87,808,000","85,942,000","108,718,000","86,438,000","71,270,000","41,047,000","36,220,000","30,124,000","28,326,000",,"27,237,000",,,,,,,,,
			FinishedGoods,"59,051,000","51,767,000","47,926,000","48,374,000","44,220,000","50,367,000","46,829,000",,,,,"32,801,000","32,735,000","21,909,000","18,705,000",,"16,884,000",,,,,,,,,
			OtherInventories,"189,022,000","298,820,000","262,755,000","249,307,000","248,047,000","247,299,000","229,508,000",,,,,,,,,,,,,,,,,,,
		RestrictedCash,"1,500,000","3,635,000",,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"29,766,000","40,774,000","43,027,000","40,277,000","38,270,000","33,689,000","45,413,000","25,128,000","23,754,000","23,526,000","18,700,000","16,852,000","14,179,000","15,340,000","17,758,000",,,,,,"21,853,000","20,957,000"
			CurrentDeferredTaxesAssets,,,,,"29,766,000","40,774,000","43,027,000","40,277,000","38,270,000","33,689,000","45,413,000","25,128,000","23,754,000","23,526,000","18,700,000","16,852,000","14,179,000","15,340,000","17,758,000",,,,,,"21,853,000","20,957,000"
		OtherCurrentAssets,"55,691,000","43,390,000","38,574,000","37,525,000","43,791,000","47,207,000","38,650,000","41,271,000","23,359,000","18,157,000","21,701,000","16,649,000","8,429,000","5,777,000","4,207,000","5,064,000","5,157,000",,,"16,835,000","17,200,000","20,000,000","19,700,000","20,000,000",,
	TotalNonCurrentAssets,"2,685,298,000","2,675,852,000","1,735,920,000","1,697,938,000","1,592,489,000","1,388,558,000","1,248,571,000","956,487,000","963,641,000","944,091,000","1,000,178,000","388,962,000","391,162,000","354,263,000","335,893,000","345,498,000","356,727,000","333,709,000","323,160,000","299,430,000","303,300,000","316,400,000","138,400,000","142,700,000","140,584,000","142,039,000"
		NetPPE,"1,058,775,000","1,060,005,000","922,043,000","876,350,000","756,100,000","513,279,000","350,048,000","66,007,000","206,725,000","193,524,000","208,885,000","168,651,000","158,998,000","124,176,000","114,787,000","117,310,000","124,144,000","123,622,000","130,576,000","122,458,000","124,100,000","130,100,000","110,900,000","114,200,000","118,066,000","122,911,000"
			GrossPPE,"1,672,227,000","1,624,874,000","1,442,896,000","1,370,134,000","1,243,599,000","977,960,000","794,749,000","665,491,000","613,438,000","564,136,000","542,877,000","504,300,000","488,083,000","428,164,000","406,788,000","399,462,000","405,834,000","390,616,000","386,755,000","370,409,000","365,900,000","351,400,000","316,800,000","316,100,000","304,984,000","286,102,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,
				LandAndImprovements,"94,976,000","94,146,000","88,326,000","87,696,000","79,311,000","66,303,000","57,562,000","17,560,000","14,823,000","11,372,000","11,231,000","13,343,000","12,469,000","9,800,000","9,766,000","10,380,000","10,049,000","8,046,000","7,966,000",,,,,,,
