name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,843,402.108",,,,"10,272,081.766"
	InterestExpenseNonOperating,"796,000,000","181,000,000","228,000,000","192,000,000","195,000,000","183,000,000","231,000,000","189,000,000","192,000,000","200,000,000","230,000,000","259,000,000","234,000,000","219,000,000","285,000,000","273,000,000","240,000,000","230,000,000","282,000,000","258,000,000","282,000,000","284,000,000","342,000,000","327,000,000","338,000,000","215,000,000","692,673,728.528","168,675,023.952","301,000,000","149,000,000","742,904,289.878","154,081,226.487"
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,"164,323,786.904",,,,,
OtherIncomeExpense,"-1,059,000,000","-202,000,000","-403,000,000","-215,000,000","-239,000,000","-176,000,000","-290,000,000","-207,000,000","-307,000,000","-254,000,000","-300,000,000","-227,000,000","-151,000,000","-153,000,000","-210,000,000","-137,000,000","-200,000,000","-645,000,000","-159,000,000","-304,000,000","-134,000,000","-112,000,000","-178,000,000","-165,000,000","-116,000,000","-4,000,000","-401,698,800.383","10,795,201.533","-87,000,000","-25,000,000","-415,983,243.667","17,976,143.09"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,570,465.906",,,"1,000,000",,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,"12,000,000",,"26,000,000",,"24,289,203.449",,"25,000,000",,"29,532,235.077"
	SpecialIncomeCharges,"-106,000,000","-5,000,000","-31,000,000","-42,000,000","-28,000,000","-8,000,000","-45,000,000","-8,000,000","-5,000,000","-3,000,000","-16,000,000","-53,000,000","-12,000,000","-12,000,000","-13,000,000","-6,000,000","-10,000,000","-15,000,000","-32,000,000","-18,000,000","-22,000,000","-12,000,000","-86,000,000","-56,000,000","-30,000,000","-30,000,000","22,108,613.221","-13,494,001.916","-20,000,000","-51,000,000","-51,238,569.099","-11,556,091.986"
		RestructuringAndMergernAcquisition,"106,000,000","5,000,000","31,000,000","42,000,000","28,000,000","8,000,000","45,000,000","8,000,000","5,000,000","3,000,000","16,000,000","53,000,000","12,000,000","12,000,000","13,000,000","6,000,000","10,000,000","15,000,000","32,000,000","18,000,000","22,000,000","12,000,000","86,000,000","56,000,000","30,000,000","30,000,000","44,011,996.168","8,096,401.15","20,000,000","10,000,000","51,238,569.099","11,556,091.986"
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,"14,000,000",,,"12,427,849.43","5,397,600.766",,"41,000,000",,
	OtherNonOperatingIncomeExpenses,"-953,000,000","-197,000,000","-372,000,000","-173,000,000","-211,000,000","-168,000,000","-245,000,000","-199,000,000","-302,000,000","-251,000,000","-284,000,000","-174,000,000","-139,000,000","-141,000,000","-197,000,000","-131,000,000","-190,000,000","-630,000,000","-127,000,000","-286,000,000","-112,000,000","-100,000,000","-92,000,000","-109,000,000","-86,000,000",,,,"-67,000,000",,,
