name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
			FeesandCommissionExpense,"760,000,000","762,000,000","903,000,000","990,000,000","853,000,000","766,000,000","837,000,000","1,032,000,000","1,069,000,000",,,,,,,,,,,,,,,,,,
		TradingGainLoss,,,,,,,,,,,"1,340,000,000","501,798,000",,,,,,,,,,,,,,,
		GainLossonSaleofAssets,"132,000,000","219,000,000","-160,000,000","191,000,000","84,000,000","34,000,000","49,000,000","-31,000,000","-43,000,000",,"0","0",,,,,,,,,,,,,,,
			GainOnSaleOfSecurity,"132,000,000","219,000,000","-160,000,000","191,000,000","84,000,000","34,000,000","49,000,000","-31,000,000","-43,000,000",,"0","0",,,,,,,,,,,,,,,
		OtherNonInterestIncome,"389,000,000","360,000,000","292,000,000","215,000,000","446,000,000","595,000,000","535,000,000","295,000,000","503,000,000","1,536,000,000","1,699,000,000","524,737,000","1,022,102,000","988,916,000","1,016,755,000","4,864,415,000","773,691,000","3,785,739,000","3,529,101,000","2,820,941,000","1,390,152,000","144,400,000","86,500,000","102,500,000","84,600,000","57,000,000","350,800,000"
CreditLossesProvision,"-9,966,000,000","-6,236,000,000","-5,856,000,000","-7,551,000,000","-6,459,000,000","-4,536,000,000","-3,541,000,000","-3,453,000,000","-4,415,000,000","-2,360,000,000","-3,907,000,000","-4,230,111,000","-5,101,040,000","-2,636,502,000","-1,476,438,000","-1,491,072,000","-1,220,852,000","-1,517,497,000","-2,149,328,000","-989,836,000","-718,170,000","-382,900,000","-267,000,000","-262,800,000","-167,200,000","-65,900,000","-30,700,000"
NonInterestExpense,"14,422,000,000","14,338,000,000","13,635,000,000","12,870,000,000","12,374,000,000","11,914,000,000","11,068,000,000","11,071,000,000","10,351,000,000","9,332,000,000","7,934,000,000","7,297,659,000","7,264,687,000","7,939,773,000","6,967,193,000","5,718,273,000","5,322,219,000","4,856,723,000","4,585,581,000","4,058,027,000","3,147,657,000","2,465,000,000","1,472,100,000","884,000,000","713,200,000","497,400,000","384,300,000"
	OccupancyAndEquipment,"2,122,000,000","2,098,000,000","2,118,000,000","1,939,000,000","1,944,000,000","1,829,000,000","1,745,000,000","1,504,000,000","1,327,000,000","1,029,000,000","1,006,000,000","950,453,000","377,192,000","322,510,000","218,265,000","152,090,000","556,534,000","529,228,000","563,484,000","447,284,000","365,604,000","254,000,000","157,400,000","120,400,000","82,400,000","55,700,000","6,700,000"
		NetOccupancyExpense,,,,,,,,,,"490,000,000","486,000,000","450,871,000",,,,,,,,,,,,,,,
		Equipment,,,,,,,,,,"539,000,000","520,000,000","499,582,000",,,,,,,,,,,,,,,
	ProfessionalExpenseAndContractServicesExpense,"1,233,000,000","1,237,000,000","1,145,000,000","1,097,000,000","1,075,000,000","1,292,000,000","1,216,000,000","1,303,000,000","1,270,000,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"9,979,000,000","9,952,000,000","9,161,000,000","8,746,000,000","8,182,000,000","7,602,000,000","6,952,000,000","6,690,000,000","6,018,000,000","5,041,000,000","4,245,000,000","3,806,536,000","3,453,945,000","3,940,370,000","3,684,103,000","3,129,676,000","2,980,501,000","2,688,837,000","2,628,511,000","2,475,051,000","1,929,514,000","1,512,100,000","922,700,000","289,300,000","215,200,000","135,800,000","94,700,000"
		GeneralAndAdministrativeExpense,"7,731,000,000","7,678,000,000","6,987,000,000","7,076,000,000","6,371,000,000","5,858,000,000","5,391,000,000","5,317,000,000","4,654,000,000","3,704,000,000","3,287,000,000","3,218,198,000","2,335,737,000","2,592,534,000","2,239,468,000","1,749,738,000","1,642,721,000","1,570,415,000","1,557,887,000","1,392,072,000","1,023,367,000","780,200,000","476,400,000","289,300,000","215,200,000","135,800,000","94,700,000"
			SalariesAndWages,"6,442,000,000","6,388,000,000","5,727,000,000","5,899,000,000","5,202,000,000","4,975,000,000","4,593,000,000","4,432,000,000","3,876,000,000","3,023,000,000","2,594,000,000","2,477,655,000","2,335,737,000","2,592,534,000","2,239,468,000","1,749,738,000","1,642,721,000","1,570,415,000","1,557,887,000","1,392,072,000","1,023,367,000","780,200,000","476,400,000","289,300,000","215,200,000","135,800,000","94,700,000"
			OtherGandA,"1,289,000,000","1,290,000,000","1,260,000,000","1,177,000,000","1,169,000,000","883,000,000","798,000,000","885,000,000","778,000,000","681,000,000","693,000,000","740,543,000",,,,,,,,,,,,,,,
