name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
		RetainedEarnings,"2,943,478,000","2,566,050,000","2,035,163,000","2,121,931,000","1,615,407,000","1,410,651,000","1,500,358,000","1,744,684,000","1,798,117,000","1,560,519,000","1,287,983,000","1,165,503,000","1,023,022,000","838,162,000","727,874,000","641,914,000","611,430,000","571,551,000","560,275,000","515,914,000","435,211,000","365,113,000","299,401,000","237,081,000","95,500,000","31,100,000",
		GainsLossesNotAffectingRetainedEarnings,"-395,735,000","-350,682,000","-225,668,000","-412,412,000","-421,288,000","-62,413,000","116,245,000","85,264,000","-222,922,000","-164,196,000","-91,860,000","-100,642,000","99,885,000","-10,058,000","12,047,000","46,203,000","23,643,000","-4,514,000","-18,453,000","-14,688,000","-9,013,000","7,360,000","-1,445,000","16,677,000",,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,"169,818,000","88,954,000",,,,,,,,,"-1,445,000","16,677,000",,,
			OtherEquityAdjustments,,,,,,,,,,,,,"-69,933,000","-99,012,000",,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,"527,100,000","513,900,000",
	MinorityInterest,"161,330,000","173,787,000","143,147,000","147,542,000","146,921,000","129,170,000","115,415,000","98,410,000","87,550,000","59,672,000","47,622,000",,"54,361,000",,,,,,,,,,,,,,
TotalCapitalization,"6,795,171,000","4,983,237,000","5,089,909,000","5,916,780,000","6,429,066,000","3,582,500,000","2,681,671,000","2,520,186,000","2,340,534,000","2,268,001,000","1,982,099,000","1,971,833,000","1,985,616,000","1,709,957,000","1,706,164,000","1,610,959,000","864,610,000","749,877,000","605,655,000","656,588,000","649,545,000","644,197,000","608,750,000","529,604,000","822,700,000","782,800,000","781,600,000"
CommonStockEquity,"3,932,250,000","3,585,321,000","3,674,549,000","3,795,062,000","3,254,392,000","1,359,465,000","1,627,361,000","1,833,598,000","1,591,277,000","1,416,074,000","1,205,696,000","1,065,771,000","1,278,305,000","1,028,098,000","930,275,000","711,375,000","636,221,000","569,740,000","593,302,000","558,907,000","490,564,000","451,667,000","517,336,000","505,198,000","622,600,000","545,000,000","700,200,000"
CapitalLeaseObligations,"137,823,000",,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"1,998,843,000","1,632,009,000","1,642,691,000","1,900,466,000","-1,372,466,000","1,072,078,000","1,254,955,000","1,462,168,000","1,187,851,000","1,009,072,000","762,452,000","619,993,000","836,766,000","625,047,000","535,805,000","307,247,000","517,637,000","534,569,000","561,554,000","536,452,000","472,667,000","430,376,000","499,735,000","482,106,000","593,600,000","514,100,000","666,100,000"
WorkingCapital,"816,113,000","815,248,000","1,276,638,000","2,166,515,000","214,318,000","2,208,964,000","1,046,552,000","1,022,304,000","954,442,000","984,021,000","678,823,000","740,556,000","650,521,000","477,905,000","451,746,000","373,664,000","271,298,000","248,057,000","79,824,000","173,038,000","201,246,000","203,594,000","184,176,000","111,193,000","234,600,000","209,000,000","181,600,000"
InvestedCapital,"6,982,507,000","5,290,531,000","5,511,921,000","6,164,324,000","7,106,411,000","4,293,596,000","2,706,225,000","2,532,886,000","2,354,950,000","2,276,984,000","2,018,409,000","1,998,035,000","2,002,243,000","1,760,688,000","1,763,728,000","1,656,006,000","864,800,000","750,220,000","763,517,000","656,887,000","650,324,000","644,605,000","609,129,000","537,061,000","839,700,000","801,400,000","795,600,000"
TangibleBookValue,"1,998,843,000","1,632,009,000","1,642,691,000","1,900,466,000","-1,372,466,000","1,072,078,000","1,254,955,000","1,462,168,000","1,187,851,000","1,009,072,000","762,452,000","619,993,000","836,766,000","625,047,000","535,805,000","307,247,000","517,637,000","534,569,000","561,554,000","536,452,000","472,667,000","430,376,000","499,735,000","482,106,000","593,600,000","514,100,000","666,100,000"
TotalDebt,"3,188,080,000","1,705,210,000","1,837,372,000","2,369,262,000","3,852,019,000","2,934,131,000","1,078,864,000","699,288,000","763,673,000","860,910,000","812,713,000","932,264,000","723,938,000","732,590,000","833,453,000","944,631,000","228,579,000","180,480,000","170,215,000","97,980,000","159,760,000","192,938,000","91,793,000","31,863,000","217,100,000","256,400,000","95,400,000"
NetDebt,"2,437,147,000","1,149,890,000","700,069,000","99,506,000","3,638,285,000","444,363,000","601,625,000","221,592,000","294,257,000","331,260,000","503,922,000","678,961,000","593,387,000","583,091,000","774,883,000","898,241,000","193,406,000","142,844,000","139,630,000","78,680,000","111,139,000","171,758,000","57,471,000","17,621,000","184,000,000","224,300,000","62,900,000"
ShareIssued,"106,040,000","105,616,000","110,547,000","112,524,000","112,219,000","78,031,000","80,053,000","88,899,000","88,841,000","91,594,000","91,532,000",,"91,446,000",,,,,,"90,996,402","91,647,486","92,400,000",,,,,,"92,400,000"
OrdinarySharesNumber,"106,040,000","105,616,000","110,547,000","112,524,000","112,219,000","78,031,000","80,053,000","88,899,000","88,841,000","91,594,000","91,532,000",,"91,446,000",,,,,,"90,996,402","91,647,486","92,400,000",,,,,,"92,400,000"
