name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,12/31/2005
		OtherNonCurrentAssets,"6,000,000","8,000,000","7,000,000","6,000,000","6,000,000","7,000,000","8,000,000","8,000,000","9,000,000","8,000,000","56,000,000","707,000,000","1,009,000,000","18,120,000","64,882,000","66,729,000","71,011,000","96,064,000","267,067,000","879,333,000","1,986,648,000","668,986,000","1,223,898,000","1,931,214,000","420,853,000","1,101,088,000","886,934,000","1,800,955,000","1,488,850,000","289,890,000","298,341,000","117,770,000","105,181,000","95,752,000","95,419,000","94,862,000","94,798,000","92,370,000","92,366,000","92,391,000","92,417,000","90,011,000","90,059,000","124,685,000","99,376,000","143,020,000","249,375,000","189,770,000","451,791,000","578,772,000","757,066,000","869,180,000","1,028,241,000","845,114,000","20,354,000"
TotalLiabilitiesNetMinorityInterest,"18,413,000,000","18,669,000,000","18,629,000,000","18,172,000,000","17,124,000,000","17,174,000,000","16,788,000,000","16,814,000,000","16,740,000,000","16,914,000,000","16,706,000,000","16,677,000,000","16,627,000,000","15,099,286,000","14,560,331,000","13,770,428,000","13,037,776,000","12,283,396,000","11,753,622,000","11,466,008,000","11,321,654,000","9,256,786,000","9,446,831,000","9,418,161,000","6,827,852,000","6,877,039,000","5,844,955,000","6,163,144,000","4,012,779,000","2,385,470,000","2,540,380,000","2,315,206,000","2,337,235,000","2,282,319,000","2,327,164,000","2,285,603,000","2,323,914,000","2,279,500,000","2,318,897,000","2,272,972,000","2,374,889,000","2,339,800,000","2,390,980,000","2,357,205,000","2,383,791,000","2,330,520,000","2,332,430,000","2,144,827,000","2,175,986,000","2,132,495,000","2,164,897,000","2,115,881,000","2,181,774,000","2,111,452,000","157,443,000"
	CurrentLiabilities,"2,715,000,000","966,000,000","918,000,000","1,330,000,000","928,000,000","1,068,000,000","694,000,000","730,000,000","649,000,000","829,000,000","637,000,000","623,000,000","577,000,000","855,711,000","2,312,337,000","2,164,926,000","2,252,193,000","2,065,835,000","427,420,000","408,308,000","264,272,000","214,756,000","408,337,000","381,497,000","200,662,000","265,887,000","233,878,000","553,251,000","284,542,000","155,410,000","177,531,000","81,911,000","104,110,000","51,818,000","96,833,000","55,444,000","93,925,000","52,134,000","91,696,000","45,937,000","148,026,000","115,584,000","166,934,000","133,330,000","162,475,000","107,003,000","109,319,000","63,456,000","95,564,000","53,420,000","90,118,000","41,943,000","108,605,000","38,303,000","44,838,000"
		PayablesAndAccruedExpenses,"607,000,000","795,000,000","714,000,000","1,194,000,000","807,000,000","885,000,000","569,000,000","625,000,000","550,000,000","717,000,000","498,000,000","555,000,000","490,000,000","544,193,000","509,237,000","459,246,000","427,578,000","355,822,000","392,404,000","372,491,000","230,367,000","164,836,000","364,595,000","341,737,000","154,359,000","225,745,000","199,001,000","522,317,000","257,715,000","128,076,000","149,732,000","55,411,000","74,260,000","21,779,000","68,924,000","28,073,000","66,283,000","14,804,000","64,682,000","18,769,000","58,064,000","25,621,000","77,114,000","43,793,000","86,168,000","41,761,000","92,819,000","55,716,000","94,734,000","53,420,000","90,118,000","41,943,000","108,605,000","38,303,000","44,838,000"
			Payables,"38,000,000","86,000,000","57,000,000","118,000,000","82,000,000","64,000,000","66,000,000","53,000,000","41,000,000","80,000,000","79,000,000","88,000,000","64,000,000","126,691,000","121,889,000","122,930,000","95,290,000","131,530,000","39,947,000","60,199,000","25,906,000","28,258,000","35,743,000","59,385,000","31,363,000","55,693,000","57,213,000","19,882,000","19,947,000","74,882,000",,"9,883,000","843,000","1,234,000","4,940,000","403,000","6,824,000","1,072,000","982,000","419,000","172,000","345,000","677,000","1,354,000","1,437,000","651,000","4,351,000","1,574,000","1,963,000","63,000","150,000","152,000","8,616,000","981,000",
				AccountsPayable,"8,000,000","40,000,000","17,000,000","74,000,000","31,000,000","15,000,000","13,000,000","14,000,000","11,000,000","12,000,000","24,000,000","44,000,000","35,000,000","27,162,000","20,333,000","35,581,000","17,131,000","16,407,000","7,096,000","10,527,000","8,379,000","8,598,000","10,401,000","27,221,000","4,836,000","10,146,000","4,739,000","19,882,000","19,947,000","74,882,000",,"9,883,000","843,000","1,234,000","1,120,000","403,000","2,774,000","1,072,000","982,000","419,000","172,000","345,000","677,000","1,354,000","1,437,000","651,000","4,351,000","1,574,000","1,963,000","63,000","150,000","152,000","8,616,000","981,000",
				DuetoRelatedPartiesCurrent,"30,000,000","46,000,000","40,000,000","44,000,000","51,000,000","49,000,000","53,000,000","39,000,000","30,000,000","68,000,000","55,000,000","44,000,000","29,000,000","99,529,000","101,556,000","87,349,000","78,159,000","115,123,000","32,851,000","49,672,000","17,527,000","19,660,000","25,342,000","32,164,000","26,527,000","45,547,000","52,474,000",,,,,"0","0",,"3,820,000",,"4,050,000","0",,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"569,000,000","709,000,000","657,000,000","1,076,000,000","725,000,000","821,000,000","503,000,000","572,000,000","509,000,000","637,000,000","419,000,000","467,000,000","426,000,000","417,502,000","387,348,000","336,316,000","332,288,000","224,292,000","352,457,000","312,292,000","204,461,000","136,578,000","328,852,000","282,352,000","122,996,000","170,052,000","141,788,000","502,435,000","237,768,000","53,194,000","149,732,000","45,528,000","73,417,000","20,545,000","63,984,000","27,670,000","59,459,000","13,732,000","63,700,000","18,350,000","57,892,000","25,276,000","76,437,000","42,439,000","84,731,000","41,110,000","88,468,000","54,142,000","92,771,000","53,357,000","89,968,000","41,791,000","99,989,000","37,322,000","44,838,000"
				InterestPayable,"251,000,000","241,000,000","217,000,000","266,000,000","217,000,000","224,000,000","186,000,000","250,000,000","186,000,000","253,000,000","146,000,000","190,000,000","147,000,000","205,312,000","194,583,000","155,222,000","167,400,000","150,336,000","166,317,000","224,690,000","165,679,000","112,858,000","155,332,000","111,851,000","101,637,000",,"97,758,000","73,919,000","68,422,000","16,327,000","55,241,000",,,,,,,"13,732,000","54,929,000","13,732,000",,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"2,002,000,000","6,000,000","6,000,000","6,000,000","5,000,000",,,,,,,,,"223,500,000","1,762,704,000","1,662,257,000","1,785,318,000","1,676,197,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
