name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
	InterestExpenseNonOperating,,,,,,,,,,,,,,,"7,662,000","9,391,000","10,258,000","11,300,000","11,264,000","11,640,000","11,457,000","9,912,000",,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"209,984,000","56,988,000","53,923,000","49,717,000","49,356,000","45,354,000","41,005,000","20,683,000","10,833,000","10,167,000","9,426,000","8,662,000","7,926,000","5,318,000",,,,,,,,,"8,660,000","6,629,000","5,655,000","1,059,000","196,000","6,485,000","4,204,000","4,301,000","2,901,000","1,214,000","1,539,000","699,000","1,759,000","1,298,000","1,294,000","1,304,000"
OtherIncomeExpense,"-705,771,000","-424,656,000","-254,123,000","-56,752,000","29,760,000","-234,181,000","17,432,000","11,882,000","9,709,000","7,801,000","6,858,000","6,709,000","6,009,000","8,044,000","12,879,000","9,858,000","7,137,000","3,260,000","2,469,000","1,563,000","714,000","715,000","806,000","559,000","269,000","397,000","319,000","229,000","297,000","458,000","615,000","4,157,000","2,471,000","1,669,000","1,151,000","660,000","346,000","-11,000"
	EarningsFromEquityInterest,"163,279,000","50,986,000","44,448,000","36,782,000","31,063,000","25,942,000","16,087,000","10,938,000","8,811,000",,,,,,,,,"1,220,000","753,000","394,000",,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-873,651,000","-475,737,000","-298,908,000","-95,493,000","-3,513,000","-261,941,000",,,,,,,,,,,,,,,,,,,,,,,,,"615,000","4,157,000","2,471,000","1,669,000","1,151,000","660,000","346,000","-11,000"
		RestructuringAndMergernAcquisition,"19,344,000","217,000","256,000","15,358,000","3,513,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"854,307,000","475,520,000","298,652,000","80,135,000",,"261,941,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"4,601,000","95,000","337,000","1,959,000","2,210,000","1,818,000","1,345,000","944,000","898,000","7,801,000","6,858,000","6,709,000","6,009,000","8,044,000","12,879,000","9,858,000","7,137,000","2,040,000","1,716,000","1,169,000","714,000","715,000","806,000","559,000","269,000","397,000","319,000","229,000","297,000","458,000",,,,,,,,
PretaxIncome,"162,082,000","-206,105,000","-40,215,000","156,471,000","251,931,000","-36,107,000","209,927,000","173,472,000","177,218,000","146,631,000","142,938,000","139,139,000","143,196,000","167,706,000","126,568,000","124,762,000","129,065,000","112,709,000","94,116,000","91,319,000","102,009,000","74,656,000","56,533,000","55,470,000","34,855,000","30,752,000","27,716,000","17,890,000","22,230,000","20,160,000","12,011,000","18,942,000","17,324,000","17,755,000","13,399,000","8,094,000","14,148,000","11,178,000"
TaxProvision,,,,,,,,,,"0","0","0","0","0",,"0",,"0","0","0","6,703,000","0","0","3,390,000","0","0","0","0","0","0","0","6,930,000","6,201,000","7,122,000","5,018,000","3,154,000","5,513,000","4,713,000"
NetIncomeCommonStockholders,"109,392,000","-235,979,000","-36,019,000","129,459,000","251,931,000","-107,740,000","128,091,000","91,391,000","129,937,000","102,973,000","102,808,000","102,541,000","109,991,000","105,704,000","99,429,000","100,335,000","107,878,000","94,415,000","79,601,000","79,411,000","74,471,000","68,006,000","51,993,000","43,786,000","33,132,000","29,551,000","26,961,000","17,532,000","21,786,000","19,758,000","11,662,000","12,012,000","11,123,000","10,633,000","8,381,000","4,940,000","8,635,000","6,465,000"
	NetIncome,"183,373,000","-210,478,000","-10,518,000","152,438,000","251,931,000","-36,107,000","209,927,000","172,619,000","177,218,000","146,631,000","142,938,000","139,139,000","143,196,000","157,559,000","126,568,000","124,762,000","129,065,000","112,709,000","94,116,000","91,319,000","95,306,000","74,656,000","56,533,000","52,080,000","34,855,000","30,752,000","27,716,000","17,890,000","22,230,000","-3,086,000","12,011,000","12,012,000","11,123,000","10,633,000","8,381,000","4,940,000","8,635,000","6,465,000"
