name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
EBIT,"621,700,000","621,700,000","629,338,000","441,717,000","579,860,000","499,737,000","-225,799,000","-818,785,000","445,966,000","488,796,000","134,733,000","-192,897,000","122,242,000","497,809,000","577,841,000","243,548,000","213,780,000","183,183,000","102,123,000","77,712,000","45,887,000","21,200,000","19,600,000","12,200,000","9,200,000","8,200,000","4,700,000","2,400,000"
EBITDA,"1,035,900,000"
ReconciledCostOfRevenue,"2,954,500,000","2,954,500,000","2,047,964,000","1,812,897,000","1,757,848,000","1,621,576,000","1,468,760,000","1,663,891,000","1,686,516,000","1,620,739,000","1,464,897,000","1,427,861,000","1,415,757,000","1,389,627,000","1,295,409,000","849,441,000","675,930,000","702,570,000","401,710,000","312,115,000","189,926,000","91,700,000","85,700,000","67,700,000","38,200,000","35,900,000","29,800,000","28,200,000"
ReconciledDepreciation,"414,200,000","414,200,000","268,990,000","267,062,000","271,214,000","259,461,000","178,981,000","298,326,000","245,348,000","211,476,000","212,387,000","194,436,000","185,258,000","160,926,000","135,312,000","78,224,000","71,310,000","73,251,000","39,749,000","34,537,000","13,594,000","8,700,000","5,700,000","4,000,000","1,400,000","900,000","700,000","600,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"43,900,000","43,900,000","93,519,000","473,463,000","109,310,000","686,000","-233,195,000","-794,339,000","211,971,000","242,351,000","-59,467,000","-264,948,000","-153,323,000","160,053,000","213,080,000","87,177,000","87,340,000","51,471,000","36,014,000","23,758,000","18,575,000","6,700,000","7,500,000","3,800,000","5,500,000","5,000,000","2,700,000","1,300,000"
TotalUnusualItemsExcludingGoodwill,"-173,100,000","-173,100,000","-20,964,000","-131,484,000","726,000","-40,042,000","-315,415,000","-1,194,185,000","7,229,000","-18,572,000","-218,807,000","-536,077,000","-279,486,000","-11,427,000","79,413,000","-67,320,000","-4,159,000","-6,123,000","-5,819,000","-796,000","39,000","-3,300,000","900,000","-1,500,000","400,000","300,000","100,000","900,000"
TotalUnusualItems,"-173,100,000","-173,100,000","-20,964,000","-131,484,000","726,000","-40,042,000","-315,415,000","-1,194,185,000","7,229,000","-18,572,000","-218,807,000","-536,077,000","-279,486,000","-11,427,000","79,413,000","-67,320,000","-4,159,000","-6,123,000","-5,819,000","-796,000","39,000","-3,300,000","900,000","-1,500,000","400,000","300,000","100,000","900,000"
NormalizedEBITDA,"1,209,000,000","1,209,000,000","919,292,000","840,263,000","850,348,000","799,240,000","268,597,000","673,726,000","684,085,000","718,844,000","565,927,000","537,616,000","586,986,000","670,162,000","633,740,000","389,092,000","289,249,000","262,557,000","147,691,000","113,045,000","59,442,000","33,200,000","24,400,000","17,700,000","10,200,000","8,800,000","5,300,000","2,100,000"
TaxRateForCalcs,"0.27","0.27","0.27","0.4","0.094","0.4","0.142","0.133","0.35","0.377","0.35","0.184","0.35","0.35","0.4","0.385","0.365","0.381","0.376","0.347","0.353","0.362","0.375","0.377","0.4","0.4","0.341","0.4"
TaxEffectOfUnusualItems,"-46,737,000","-46,737,000","-5,660,280","-52,593,600","68,244","-16,016,800","-44,788,930","-158,826,605","2,530,150","-7,008,349.601","-76,582,450","-98,863,624.413","-97,820,100","-3,999,450","31,765,200","-25,923,684.559","-1,519,660.185","-2,333,370.802","-2,188,148.862","-275,971.182","13,769.26","-1,194,285.714","337,500","-565,573.77","160,000","120,000","34,146.341","360,000"
