name,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998
		OtherShortTermInvestments,,,,,,,,"1,309,998,000,000","1,270,295,000,000","1,213,223,000,000",,,,,,,,,,,,
	LongTermEquityInvestment,"842,760,000,000","591,363,000,000","524,234,000,000","530,667,000,000","378,087,000,000","314,300,000,000","326,732,000,000","331,717,000,000","373,376,000,000","409,711,000,000","264,695,000,000",,,,,,,,,,,
	NetLoan,"3,219,659,000,000","2,769,097,000,000","2,756,479,000,000","2,532,162,000,000","2,405,728,000,000","2,230,759,000,000","2,586,907,000,000","2,633,310,000,000","2,829,014,000,000","2,306,728,000,000","3,304,101,000,000","3,646,824,262,160","3,394,285,598,880","2,834,628,103,350","2,268,082,221,860","2,104,983,428,050","2,114,905,914,940","2,114,993,488,270","1,735,774,874,280","1,601,565,321,949.2","1,771,704,161,550",
		GrossLoan,"3,277,670,000,000","2,823,769,000,000","2,815,706,000,000","2,592,233,000,000","2,478,054,000,000","2,315,555,000,000","2,691,171,000,000","2,769,898,000,000","2,983,164,000,000","2,464,251,000,000","3,304,101,000,000","3,748,329,897,280","3,483,593,401,440","2,931,850,327,050","2,383,143,080,640","2,232,902,533,900","2,245,620,242,700","2,267,441,017,400","1,879,413,902,310","1,734,123,067,146.8","1,771,704,161,550",
			CommercialLoan,"1,083,555,000,000","797,737,000,000","883,732,000,000","864,361,000,000","810,654,000,000","705,391,000,000","576,586,000,000",,,,,,,,,,,,,,,
			ConsumerLoan,"245,139,000,000","264,323,000,000","270,007,000,000","260,533,000,000","243,225,000,000","228,868,000,000","225,707,000,000",,,,,,,,,,,,,,,
			MortgageLoan,"1,849,683,000,000","1,653,456,000,000","1,532,536,000,000","1,352,089,000,000","1,275,784,000,000","1,201,501,000,000","1,158,116,000,000",,,,,,,,,,,,,,,
			OtherLoanAssets,"99,293,000,000","108,253,000,000","129,431,000,000","115,250,000,000","148,391,000,000","179,795,000,000","730,762,000,000","2,769,898,000,000","2,983,164,000,000","2,464,251,000,000",,"3,748,329,897,280","3,483,593,401,440","2,931,850,327,050","2,383,143,080,640","2,232,902,533,900","2,245,620,242,700","2,267,441,017,400","1,879,413,902,310","1,734,123,067,146.8",,
		AllowanceForLoansAndLeaseLosses,"58,011,000,000","54,672,000,000","59,227,000,000","60,071,000,000","72,326,000,000","84,796,000,000","104,264,000,000","136,588,000,000","154,150,000,000","157,523,000,000",,"101,505,635,120","89,307,802,560","97,222,223,700","115,060,858,780","127,919,105,850","130,714,327,760","152,447,529,130","143,639,028,030","132,557,745,197.6",,
	Receivables,"280,590,000,000","294,773,000,000","283,427,000,000","294,638,000,000","348,404,000,000","239,958,000,000","196,626,000,000","188,108,000,000","182,013,000,000","210,521,000,000","228,581,000,000","282,879,653,080","211,840,935,360","165,960,454,500","159,991,427,120","142,618,856,400","143,927,328,400","123,739,014,490","114,759,890,700","68,094,326,737.2","67,917,112,545","67,558,000,000"
		AccountsReceivable,"280,590,000,000","294,773,000,000","283,427,000,000","294,638,000,000","348,404,000,000",,,,,,,,,,,,,,,,,
		OtherReceivables,,,,,,"239,958,000,000","196,626,000,000","188,108,000,000",,,,,,,,,,,,,,
	PrepaidAssets,,,,,,"61,909,000,000","50,323,000,000","39,547,000,000","44,551,000,000","45,420,000,000","34,571,000,000",,,,,,,,,,,"21,068,000,000"
	NetPPE,"3,041,613,000,000","3,087,562,000,000","3,026,905,000,000","2,986,524,000,000","2,922,330,000,000","2,596,156,000,000","2,493,670,000,000","123,338,000,000","102,403,000,000","96,831,000,000","86,945,000,000",,,,"65,304,811,740","71,100,921,100","75,620,834,020","76,821,858,620","75,791,971,770","72,377,824,397.8","78,790,043,240","37,142,000,000"
		GrossPPE,"3,041,613,000,000","3,087,562,000,000","3,026,905,000,000","2,986,524,000,000","2,922,330,000,000","2,596,156,000,000","2,493,670,000,000","2,334,222,000,000",,,"86,945,000,000",,,,,,,,,,,
			Properties,"441,632,000,000","434,786,000,000","398,936,000,000","327,016,000,000","278,100,000,000",,,,,,,,,,,,,,,,,
			MachineryFurnitureEquipment,"108,390,000,000","112,962,000,000","110,781,000,000","120,173,000,000","131,556,000,000","126,397,000,000","108,757,000,000","123,338,000,000",,,,,,,,,,,,,,
			OtherProperties,"2,491,591,000,000","2,539,814,000,000","2,517,188,000,000","2,539,335,000,000","2,512,674,000,000","2,469,759,000,000","2,384,913,000,000","2,210,884,000,000",,,,,,,,,,,,,,
	OtherAssets,"1,577,799,000,000","1,548,615,000,000","1,481,126,000,000","1,496,724,000,000","1,629,743,000,000","1,490,235,000,000","750,213,000,000","746,323,000,000","918,356,000,000","879,606,000,000","2,021,554,000,000","3,443,015,305,200","3,374,138,324,160","3,146,892,703,200","2,771,326,033,840","2,561,301,216,400","2,601,427,474,220","2,784,194,280,920","2,621,443,788,990","2,429,589,659,364.6","2,614,743,333,400","5,180,326,000,000"
TotalLiabilitiesNetMinorityInterest,"9,221,716,000,000","8,627,108,000,000","8,584,270,000,000","8,524,087,000,000","9,125,557,000,000","6,974,214,000,000","6,752,137,000,000","6,881,369,000,000","7,206,652,000,000","6,423,339,000,000","7,158,743,000,000","7,649,017,958,080","6,960,235,404,000","6,266,713,842,900","5,333,762,456,400","5,056,192,921,450","5,325,075,204,360","5,832,746,134,150","5,221,575,026,850","4,758,590,952,310.4","5,047,778,915,930","5,260,488,000,000"
	TotalDeposits,"1,927,741,000,000","1,757,462,000,000","1,614,608,000,000","1,398,472,000,000","1,287,380,000,000","1,206,413,000,000","1,078,587,000,000","1,245,606,000,000","1,193,272,000,000","978,748,000,000","836,517,000,000","631,568,460,560","619,499,242,560","505,061,212,950","434,400,315,860","370,725,623,800","335,515,837,680","224,617,545,100","181,471,959,030","149,966,293,993.6","45,289,984,045","40,331,000,000"
		InterestBearingDepositsLiabilities,"1,927,741,000,000","1,757,462,000,000","1,614,608,000,000","1,398,472,000,000","1,287,380,000,000","1,206,413,000,000","1,078,587,000,000","1,245,606,000,000","1,193,272,000,000","978,748,000,000","836,517,000,000","631,568,460,560","619,499,242,560","353,931,267,150","434,400,315,860","370,725,623,800","335,515,837,680","224,617,545,100","181,471,959,030","149,966,293,993.6","45,289,984,045",
			CustomerAccounts,"1,927,741,000,000","1,757,462,000,000","1,614,608,000,000","1,398,472,000,000","1,287,380,000,000","1,206,413,000,000","1,078,587,000,000","1,245,606,000,000","1,193,272,000,000","978,748,000,000","836,517,000,000","631,568,460,560","619,499,242,560","353,931,267,150","434,400,315,860","370,725,623,800","335,515,837,680","224,617,545,100","181,471,959,030","149,966,293,993.6","45,289,984,045",
		NonInterestBearingDeposits,,,,,,,,,,,,,,"151,129,945,800",,,,,,,,
	PayablesAndAccruedExpenses,"335,490,000,000","281,099,000,000","345,684,000,000","283,614,000,000","345,381,000,000","656,089,000,000","445,854,000,000","408,371,000,000","444,696,000,000","413,030,000,000","466,972,000,000","390,467,649,440","380,441,813,280","334,628,065,350","270,334,040,060","279,608,021,100","247,743,762,000","244,288,194,020","215,017,157,850","146,630,597,384.2",,"377,649,000,000"
		Payables,"335,490,000,000","281,099,000,000","345,684,000,000","283,614,000,000","345,381,000,000","465,675,000,000","324,573,000,000","298,314,000,000","326,337,000,000","311,113,000,000","370,310,000,000","390,467,649,440","380,441,813,280","334,628,065,350","270,334,040,060","279,608,021,100","247,743,762,000","244,288,194,020","215,017,157,850","146,630,597,384.2",,"311,801,000,000"
			AccountsPayable,"293,480,000,000","262,301,000,000","251,800,000,000","266,216,000,000","335,936,000,000","443,333,000,000","312,922,000,000","290,465,000,000","304,354,000,000","311,113,000,000","370,310,000,000",,,,,,,,,,,"194,154,000,000"
			TotalTaxPayable,"42,010,000,000","18,798,000,000","93,884,000,000","17,398,000,000","9,445,000,000","22,342,000,000","11,651,000,000","7,849,000,000","21,983,000,000",,,,,,,,,,,,,"117,647,000,000"
				IncomeTaxPayable,"42,010,000,000","18,798,000,000","93,884,000,000","17,398,000,000","9,445,000,000","22,342,000,000","11,651,000,000","7,849,000,000","21,983,000,000",,,,,,,,,,,,,"117,647,000,000"
		CurrentAccruedExpenses,,,,,,"190,414,000,000","121,281,000,000","110,057,000,000","118,359,000,000","101,917,000,000","96,662,000,000",,,,,,,,,,,"65,848,000,000"
	CurrentDebtAndCapitalLeaseObligation,"309,549,000,000","306,754,000,000","283,467,000,000","349,624,000,000","284,785,000,000","309,591,000,000","420,726,000,000","457,973,000,000","478,633,000,000","573,565,000,000","798,167,000,000","1,323,761,111,840","1,172,076,543,360","1,339,100,773,650","946,437,222,360","903,044,250,100","1,099,628,383,620","1,640,239,718,390","1,589,991,980,160","1,851,563,467,780.8","2,197,165,631,440","2,576,483,000,000"
		CurrentDebt,"309,549,000,000","306,754,000,000","283,467,000,000","349,624,000,000","284,785,000,000","309,591,000,000","420,726,000,000","457,973,000,000","478,633,000,000","573,565,000,000","798,167,000,000","1,323,761,111,840","1,172,076,543,360","1,339,100,773,650","946,437,222,360","903,044,250,100","1,099,628,383,620","1,640,239,718,390","1,589,991,980,160","1,851,563,467,780.8","2,197,165,631,440","2,576,483,000,000"
