name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,"17,953,000","13,491,000","14,365,000","14,528,000","16,861,000","19,388,000","20,800,000","21,034,000","16,172,000","15,900,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherInterestExpense,,,,,,,,,,,,"361,608,000","500,364,000",,,,,,,,,,"100,000",,"100,000",,"100,000",,,,"100,000",,,
	NonInterestIncome,"289,588,000","285,315,000","282,568,000","259,478,000","264,478,000","239,545,000","202,108,000","191,050,000","192,758,000","177,042,000","212,694,000","181,115,000","-28,052,000","205,877,000","219,350,000","220,885,000","219,707,000","232,483,000","185,572,000","162,098,000","128,821,000","92,630,000","74,200,000","36,000,000","25,500,000","22,000,000","12,400,000","8,500,000","6,000,000","4,000,000","3,300,000","2,500,000",,
		TotalPremiumsEarned,"14,608,000","14,612,000","14,614,000","14,627,000","14,759,000","13,020,000","13,178,000","13,770,000","11,254,000","10,360,000","10,517,000","10,629,000","10,441,000",,,,,,,,,,,,,,,,,,,,,
		FeesAndCommissions,"239,343,000","238,396,000","231,475,000","218,577,000","210,863,000","202,453,000","165,659,000","171,958,000","167,228,000","149,453,000","159,819,000","168,311,000","177,339,000","174,639,000","158,337,000","142,350,000","106,317,000","114,743,000","80,141,000","127,945,000","93,893,000","66,936,000","43,200,000","27,700,000","18,100,000","14,100,000","11,200,000","6,800,000","4,600,000","3,200,000","2,300,000","1,800,000",,
			FeesandCommissionIncome,"239,836,000","238,396,000","231,475,000","218,577,000","210,863,000","202,453,000","165,659,000","171,958,000","167,228,000","149,453,000","159,819,000","168,311,000","177,339,000","174,639,000","158,337,000","142,350,000","106,317,000","114,743,000","80,141,000","127,945,000","93,893,000","66,936,000","43,200,000","27,700,000","18,100,000","14,100,000","11,200,000","6,800,000","4,600,000","3,200,000","2,300,000","1,800,000",,
				ServiceChargeOnDepositorAccounts,"239,836,000","238,396,000","231,475,000","218,577,000","210,863,000","202,453,000","165,659,000","171,958,000","167,228,000","102,795,000","108,977,000","119,421,000","120,132,000","114,645,000","96,765,000","85,967,000","77,743,000","70,018,000","61,610,000",,,,,,,,,,,,,,,
				TrustFeesbyCommissions,,,,,,,,,,"26,421,000","24,925,000","24,000,000",,"29,164,000","27,183,000","23,151,000",,"18,341,000",,,,,,,,,,,,,,,,
				OtherCustomerServices,,,,,,,,,,"20,237,000","25,917,000","24,890,000","57,207,000","30,830,000","34,389,000","33,232,000","28,574,000","26,384,000","18,531,000",,,,,,,,,,,,,,,
			FeesandCommissionExpense,,"2,952,000","3,251,000","3,094,000","3,006,000","3,173,000","3,507,000","6,216,000","8,056,000",,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentBankingProfit,,,,,,,,,,"4,905,000","4,169,000","6,901,000","1,230,000",,,,,,,,,,,,,,,,,,,,,
