name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
EBIT,"586,558,000","620,645,000","847,106,000","562,148,000","580,445,000","490,909,000","254,537,000","575,986,000","407,393,000","588,197,000","417,636,000","184,857,000","221,518,000","314,831,000","266,659,000","163,896,000","118,481,000","92,824,000","105,525,000","98,450,000","150,162,000","114,126,000","125,715,000","120,707,000","93,426,000","117,000,000","93,900,000","48,600,000"
EBITDA,"804,453,000"
ReconciledCostOfRevenue,"2,279,898,000","2,331,649,000","2,157,694,000","1,961,996,000","1,706,627,000","2,454,463,000","1,674,700,000","1,755,011,000","1,835,425,000","1,891,946,000","1,616,842,000","1,521,532,000","1,859,441,000","1,713,696,000","1,817,692,000","1,684,101,000","1,201,388,000","871,727,000","744,979,000","695,564,000","646,086,000","581,380,000","560,057,000","568,424,000","611,353,000","873,100,000","742,100,000","622,500,000"
ReconciledDepreciation,"217,895,000","213,484,000","200,698,000","196,928,000","226,169,000","260,076,000","103,572,000","107,370,000","99,020,000","96,753,000","95,578,000","100,513,000","111,685,000","106,855,000","112,950,000","117,435,000","97,268,000","84,014,000","80,603,000","77,610,000","73,750,000","75,750,000","75,012,000","69,044,000","71,044,000","94,100,000","93,300,000","88,500,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"506,863,000","533,228,000","693,562,000","54,850,000","441,544,000","334,906,000","202,847,000","413,171,000","311,536,000","436,280,000","323,720,000","178,368,000","194,202,000","229,690,000","142,969,000","114,867,000","54,839,000","74,165,000","74,745,000","68,167,000","101,776,000","88,829,000","84,732,000","79,982,000","156,059,000","78,200,000","51,300,000","21,800,000"
TotalUnusualItemsExcludingGoodwill,,"0","210,428,000","0","64,914,000","-139,292,000","-56,105,000","-33,361,000","-111,685,000","357,000","-4,170,000","-13,066,000","-63,732,000","1,320,000","-89,309,000","3,411,000","-38,552,000","-9,442,000","1,808,000","2,231,000","11,471,000","12,299,000","1,570,000","917,000","162,182,000","27,900,000","9,800,000","1,600,000"
TotalUnusualItems,,"0","210,428,000","0","64,914,000","-139,292,000","-56,105,000","-33,361,000","-111,685,000","357,000","-4,170,000","-13,066,000","-63,732,000","1,320,000","-89,309,000","3,411,000","-38,552,000","-9,442,000","1,808,000","2,231,000","11,471,000","12,299,000","1,570,000","917,000","162,182,000","27,900,000","9,800,000","1,600,000"
NormalizedEBITDA,"804,453,000","834,129,000","837,376,000","759,076,000","741,700,000","890,277,000","414,214,000","716,717,000","618,098,000","684,593,000","517,384,000","298,436,000","396,935,000","420,366,000","468,918,000","277,920,000","254,301,000","186,280,000","184,320,000","173,829,000","212,441,000","177,577,000","199,157,000","188,834,000","2,288,000","183,200,000","177,400,000","135,500,000"
TaxRateForCalcs,"0.132","0.157","0.182","0.4","0.187","0.081","0.087","0.25","0.22","0.35","0.236","0.35","0.35","0.198","0.016","0.184","0.237","0.158","0.28","0.299","0.31","0.31","0.31","0.338","0.383","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","38,297,896","0","12,138,918","-11,282,652","-4,881,135","-8,340,250","-24,570,700","124,950","-986,062.922","-4,573,100","-22,306,200","261,691.821","-1,467,660.234","627,761.961","-9,125,003.619","-1,489,402.987","506,246.27","666,320.62","3,555,985.892","3,812,711.018","486,682.356","310,379.149","62,173,857.333","11,160,000","3,920,000","640,000"
