name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
		NonCurrentDeferredLiabilities,"157,663,000","145,590,000","115,956,000","99,997,000","106,801,000","103,384,000","102,684,000","92,220,000","93,696,000","111,518,000","122,432,000","131,592,000","134,745,000","136,622,000","134,264,000","147,898,000","168,529,000","68,939,000","80,129,000","79,019,000","78,008,000","77,579,000","187,957,000","187,205,000","186,496,000","186,811,000","221,735,000","228,187,000","227,130,000","34,148,000","33,533,000","31,780,000","29,372,000","26,638,000","22,148,000","18,937,000","12,636,000","16,367,000","9,638,000","11,850,000","11,504,000","11,616,000","11,411,000","11,821,000","11,813,000","11,917,826","9,349,184","9,349,184","841,462"
			NonCurrentDeferredTaxesLiabilities,"157,663,000","145,590,000","115,956,000","99,997,000","106,801,000","103,384,000","102,684,000","92,220,000","81,696,000","81,518,000","77,432,000","71,592,000","74,745,000","74,072,000","59,956,000","57,454,000","61,021,000","68,939,000","80,129,000","79,019,000","78,008,000","77,579,000","187,957,000","187,205,000","186,496,000","186,811,000","221,735,000","228,187,000","227,130,000","34,148,000","33,533,000","31,780,000","29,372,000","26,638,000","22,148,000","18,937,000","12,636,000","16,367,000","9,638,000","11,850,000","11,504,000","11,616,000","11,411,000","11,821,000","11,813,000","11,917,826","9,349,184","9,349,184","841,462"
			NonCurrentDeferredRevenue,,,,,,"0","0","0","12,000,000","30,000,000","45,000,000","60,000,000","60,000,000","62,550,000","74,308,000","90,444,000","107,508,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		EmployeeBenefits,"5,270,000","4,736,000","4,014,000","4,262,000","12,328,000","12,063,000","11,106,000","11,561,000","12,596,000","14,708,000","7,702,000","7,820,000","8,396,000","7,860,000","7,021,000","6,928,000","6,482,000","6,814,000","6,337,000","5,672,000","5,622,000","5,468,000","5,542,000","5,261,000","6,938,000","6,626,000","5,991,000","5,832,000","5,335,000","4,458,000","4,876,000","4,487,000","4,399,000","4,017,000",,,,"2,776,000",,"2,552,000",,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,876,000","4,487,000","4,399,000","4,017,000",,,,"2,776,000",,"2,552,000",,,,,,,,,
		DerivativeProductLiabilities,,,,,,"1,477,000",,,,"0","2,348,000","3,901,000","6,787,000","6,439,000","16,038,000","24,790,000","23,974,000","18,968,000","15,322,000","10,662,000","614,000","694,000","0","848,000","1,198,000","205,000","2,945,000","2,185,000",,,,,,,,,,,,,,,,,,,,,
		LiabilitiesHeldforSaleNonCurrent,,,"90,934,000","86,385,000",,,,,,,,,,,,,,,"0","0","0","4,009,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"6,351,000","4,791,000","5,243,000","4,352,000","2,280,000","2,199,000","1,880,000","1,424,000","1,687,000","1,816,000","423,000","510,000","2,525,000","602,000","4,040,000","3,939,000","3,235,000","3,197,000","3,154,000","3,119,000","3,082,000",,,,,,,,,,,,,,"3,619,000","3,398,000","2,988,000","13,578,000","2,608,000","462,000","2,893,000","15,663,000","6,243,000","2,134,000","7,418,000","1",,,
TotalEquityGrossMinorityInterest,"2,142,239,000","2,051,652,000","1,865,559,000","1,760,845,000","1,705,317,000","1,652,853,000","1,689,481,000","1,656,022,000","1,629,915,000","1,566,393,000","1,522,484,000","1,503,301,000","1,473,168,000","1,454,564,000","1,422,498,000","1,326,001,000","1,329,287,000","1,312,539,000","1,423,928,000","1,442,114,000","1,458,713,000","1,525,340,000","1,888,050,000","1,651,984,000","1,656,656,000","1,671,367,000","1,603,754,000","1,585,803,000","1,545,508,000","566,319,000","552,003,000","518,797,000","502,954,000","475,334,000","336,485,000","322,928,000","303,055,000","288,639,000","260,186,000","224,841,000","225,692,000","199,663,000","210,580,000","188,266,000","190,226,000","134,718,993","149,823,875","147,329,965","110,083,837"
	StockholdersEquity,"2,070,902,000","1,990,243,000","1,808,403,000","1,712,759,000","1,659,911,000","1,610,947,000","1,656,199,000","1,639,826,000","1,614,474,000","1,552,104,000","1,512,782,000","1,494,549,000","1,462,651,000","1,444,989,000","1,416,030,000","1,320,288,000","1,322,098,000","1,303,684,000","1,419,929,000","1,434,258,000","1,449,590,000","1,470,087,000","1,837,833,000","1,644,368,000","1,648,659,000","1,663,651,000","1,595,803,000","1,580,328,000","1,539,618,000","559,947,000","548,191,000","514,902,000","498,844,000","471,391,000","336,485,000","322,928,000","303,055,000","288,639,000","260,186,000","224,841,000","225,692,000","199,663,000","210,580,000","184,867,000","186,809,000","134,718,993","149,823,875","147,329,965","110,083,837"
		CapitalStock,"2,361,451,000","2,339,874,000","2,325,188,000","2,273,764,000","2,262,165,000","2,234,050,000","2,221,564,000","2,211,573,000","2,203,759,000","2,197,267,000","2,192,696,000","2,189,748,000","2,180,388,000","2,151,993,000","2,126,887,000","2,051,964,000","2,039,403,000","2,036,778,000","2,036,568,000","2,036,128,000","2,031,122,000","2,018,468,000","2,018,370,000","1,532,132,000","1,522,126,000","1,519,217,000","1,472,771,000","1,471,707,000","1,455,946,000","468,550,000","0","0","0","0","0","0","0","0","0","0","0","0","233,512,000","0","208,404,000","0","0","0","0"
			CommonStock,"2,361,451,000","2,339,874,000","2,325,188,000","2,273,764,000","2,262,165,000","2,234,050,000","2,221,564,000","2,211,573,000","2,203,759,000","2,197,267,000","2,192,696,000","2,189,748,000","2,180,388,000","2,151,993,000","2,126,887,000","2,051,964,000","2,039,403,000","2,036,778,000","2,036,568,000","2,036,128,000","2,031,122,000","2,018,468,000","2,018,370,000","1,532,132,000","1,522,126,000","1,519,217,000","1,472,771,000","1,471,707,000","1,455,946,000","468,550,000","0","0","0","0","0","0","0","0","0","0","0","0","233,512,000","0","208,404,000","0","0","0","0"
		AdditionalPaidInCapital,"53,666,000","56,685,000","57,401,000","69,700,000","67,916,000","70,889,000","69,151,000","63,239,000","62,451,000","60,039,000","55,843,000","51,907,000","47,776,000","56,191,000","55,733,000","69,990,000","73,159,000","70,051,000","66,764,000","63,764,000","64,490,000","59,789,000","56,406,000","53,883,000","55,208,000","52,333,000","45,381,000","40,080,000","38,477,000","35,383,000","498,999,000","478,235,000","466,520,000","457,760,000","343,691,000","339,170,000","334,313,000","300,985,000","271,005,000","267,072,000","263,439,000","233,842,000",,"208,513,000",,"157,602,009","157,602,009","151,602,009","117,852,009"
		RetainedEarnings,"-198,393,000","-261,245,000","-429,268,000","-485,914,000","-524,686,000","-547,839,000","-490,243,000","-490,642,000","-508,948,000","-610,908,000","-640,787,000","-652,230,000","-673,259,000","-667,760,000","-673,981,000","-708,904,000","-698,574,000","-706,891,000","-586,950,000","-571,868,000","-550,683,000","-536,617,000","-177,008,000","97,088,000","108,635,000","132,640,000","106,420,000","95,941,000","62,870,000","62,807,000","54,590,000","40,114,000","28,177,000","13,631,000","-7,206,000","-16,242,000","-31,258,000","-32,489,000","-38,729,000","-70,733,000","-66,567,000","-61,979,000","-44,725,000","-42,761,000","-39,918,000","-34,190,836","-19,203,356","-14,656,504","-12,543,184"
		GainsLossesNotAffectingRetainedEarnings,"-145,822,000","-145,071,000","-144,918,000","-144,791,000","-145,484,000","-146,153,000","-144,273,000","-144,344,000","-142,788,000","-94,294,000","-94,970,000","-94,876,000","-92,254,000","-95,435,000","-92,609,000","-92,762,000","-91,890,000","-96,254,000","-96,453,000","-93,766,000","-95,339,000","-71,553,000","-59,935,000","-38,735,000","-37,310,000","-40,539,000","-28,769,000","-27,400,000","-17,675,000","-6,793,000","-5,398,000","-3,447,000","4,147,000",,,,,,,,,,,,,"11,307,820",,,"4,775,012"
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,143,000","27,910,000","28,502,000","28,820,000","27,800,000","21,793,000","19,115,000","18,323,000",,"11,425,222","10,384,460",
	MinorityInterest,"71,337,000","61,409,000","57,156,000","48,086,000","45,406,000","41,906,000","33,282,000","16,196,000","15,441,000","14,289,000","9,702,000","8,752,000","10,517,000","9,575,000","6,468,000","5,713,000","7,189,000","8,855,000","3,999,000","7,856,000","9,123,000","55,253,000","50,217,000","7,616,000","7,997,000","7,716,000","7,951,000","5,475,000","5,890,000","6,372,000","3,812,000","3,895,000","4,110,000","3,943,000",,,,,,,,,,"3,399,000","3,417,000",,,,
TotalCapitalization,"2,273,878,000","2,226,064,000","2,148,761,000","2,133,375,000","2,113,283,000","2,065,474,000","2,113,955,000","1,928,180,000","1,957,938,000","1,951,655,000","2,147,200,000","2,056,220,000","1,969,217,000","1,917,834,000","1,846,326,000","1,768,407,000","1,727,960,000","1,755,150,000","1,825,448,000","1,830,614,000","1,819,664,000","1,838,919,000","2,227,952,000","2,017,424,000","1,988,003,000","1,964,098,000","1,905,535,000","1,641,640,000","1,556,429,000","559,947,000","548,191,000","514,902,000","498,844,000","471,391,000","336,485,000","322,928,000","303,055,000","288,639,000","260,186,000","224,841,000","225,692,000","208,305,000","210,580,000","184,867,000","186,809,000","134,718,993","149,823,875","147,329,965","110,083,837"
CommonStockEquity,"2,070,902,000","1,990,243,000","1,808,403,000","1,712,759,000","1,659,911,000","1,610,947,000","1,656,199,000","1,639,826,000","1,614,474,000","1,552,104,000","1,512,782,000","1,494,549,000","1,462,651,000","1,444,989,000","1,416,030,000","1,320,288,000","1,322,098,000","1,303,684,000","1,419,929,000","1,434,258,000","1,449,590,000","1,470,087,000","1,837,833,000","1,644,368,000","1,648,659,000","1,663,651,000","1,595,803,000","1,580,328,000","1,539,618,000","559,947,000","548,191,000","514,902,000","498,844,000","471,391,000","336,485,000","322,928,000","303,055,000","288,639,000","260,186,000","224,841,000","225,692,000","199,663,000","210,580,000","184,867,000","186,809,000","134,718,993","149,823,875","147,329,965","110,083,837"
CapitalLeaseObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,839",,,"101,839"
NetTangibleAssets,"2,070,902,000","1,990,243,000","1,808,403,000","1,712,759,000","1,659,911,000","1,610,947,000","1,656,199,000","1,639,826,000","1,614,474,000","1,552,104,000","1,512,782,000","1,494,549,000","1,462,651,000","1,444,989,000","1,416,030,000","1,320,288,000","1,322,098,000","1,303,684,000","1,419,929,000","1,434,258,000","1,449,590,000","1,470,087,000","1,837,833,000","1,442,298,000","1,446,589,000","1,461,581,000","1,444,087,000","1,443,033,000","1,402,323,000","559,947,000","548,191,000","514,902,000","498,844,000","471,391,000","336,485,000","322,928,000","303,055,000","288,639,000","260,186,000","224,841,000","225,692,000","199,663,000","210,580,000","184,867,000","186,809,000","134,718,993","149,823,875","147,329,965","110,083,837"
WorkingCapital,"287,700,000","242,417,000","235,828,000","191,780,000","205,556,000","155,781,000","131,924,000","-111,397,000","-88,219,000","-98,693,000","35,198,000","46,135,000","62,093,000","101,028,000","114,885,000","105,867,000","124,526,000","104,676,000","111,816,000","136,771,000","143,355,000","174,953,000","215,620,000","195,943,000","237,456,000","275,676,000","314,190,000","120,912,000","113,590,000","92,108,000","106,886,000","110,714,000","118,170,000","119,187,000","93,623,000","95,794,000","89,344,000","84,569,000","51,307,000","11,604,000","17,048,000","11,584,000","12,389,000","-823,000","22,942,000","41,322,759","57,185,763","64,799,971","82,045,948"
InvestedCapital,"2,295,911,000","2,252,094,000","2,174,596,000","2,159,845,000","2,143,031,000","2,090,482,000","2,403,129,000","2,217,662,000","2,257,008,000","2,254,285,000","2,174,487,000","2,076,908,000","1,989,542,000","1,931,769,000","1,864,731,000","1,782,544,000","1,741,924,000","1,766,876,000","1,839,140,000","1,842,256,000","1,833,401,000","1,849,375,000","2,236,229,000","2,027,920,000","2,010,807,000","1,977,063,000","1,914,926,000","1,651,240,000","1,605,396,000","559,947,000","548,191,000","514,902,000","498,844,000","471,472,000","336,485,000","322,928,000","303,055,000","288,741,000","260,186,000","242,215,000","240,944,000","209,366,000","210,580,000","184,867,000","186,809,000","137,291,546","152,455,119","149,918,784","112,529,105"
TangibleBookValue,"2,070,902,000","1,990,243,000","1,808,403,000","1,712,759,000","1,659,911,000","1,610,947,000","1,656,199,000","1,639,826,000","1,614,474,000","1,552,104,000","1,512,782,000","1,494,549,000","1,462,651,000","1,444,989,000","1,416,030,000","1,320,288,000","1,322,098,000","1,303,684,000","1,419,929,000","1,434,258,000","1,449,590,000","1,470,087,000","1,837,833,000","1,442,298,000","1,446,589,000","1,461,581,000","1,444,087,000","1,443,033,000","1,402,323,000","559,947,000","548,191,000","514,902,000","498,844,000","471,391,000","336,485,000","322,928,000","303,055,000","288,639,000","260,186,000","224,841,000","225,692,000","199,663,000","210,580,000","184,867,000","186,809,000","134,718,993","149,823,875","147,329,965","110,083,837"
TotalDebt,"225,009,000","261,851,000","366,193,000","447,086,000","483,120,000","479,535,000","746,930,000","577,836,000","642,534,000","702,181,000","661,705,000","582,359,000","526,891,000","486,780,000","448,701,000","462,256,000","419,826,000","463,192,000","419,211,000","407,998,000","383,811,000","379,288,000","398,396,000","383,552,000","362,148,000","313,412,000","319,123,000","70,912,000","65,778,000",,,,,"81,000",,,,"102,000",,"17,374,000","15,252,000","9,703,000",,,,"2,674,392","2,631,244","2,588,819","2,547,107"
NetDebt,"17,070,000","121,255,000","219,780,000","333,565,000","341,537,000","376,783,000","392,089,000","470,884,000","474,618,000","554,713,000","571,996,000","494,166,000","423,660,000","342,109,000","324,943,000","362,454,000","310,757,000","378,049,000","332,426,000","298,280,000","255,634,000","246,724,000","219,350,000","248,738,000","178,611,000","60,676,000","35,376,000",,,,,,,,,,,,,"3,310,000",,"6,779,000",,,,,,,
ShareIssued,"1,036,898,469","1,030,399,987","1,025,751,636","1,009,933,091","1,004,748,151","994,621,917","989,609,160","985,861,379","983,236,277","980,932,908","979,174,457","978,012,126","973,446,385","964,892,433","955,743,038","933,915,046","928,728,630","927,073,436","926,917,542","926,680,874","921,746,643","917,652,046","680,221,227","678,785,411","676,024,871","674,719,721","651,380,950","650,871,284","646,105,020","393,307,942","392,744,807","387,747,463","384,738,307","382,494,656","344,654,241","342,511,540","338,411,140","337,570,170","314,763,039","311,453,809","308,547,812","282,531,023","282,275,023","243,742,023","162,783,318","162,783,318","162,783,318","162,783,318","162,783,318"
OrdinarySharesNumber,"1,036,898,469","1,030,399,987","1,025,751,636","1,009,933,091","1,004,748,151","994,621,917","989,609,160","985,861,379","983,236,277","980,932,908","979,174,457","978,012,126","973,446,385","964,892,433","955,743,038","933,915,046","928,728,630","927,073,436","926,917,542","926,680,874","921,746,643","917,652,046","680,221,227","678,785,411","676,024,871","674,719,721","651,380,950","650,871,284","646,105,020","393,307,942","392,744,807","387,747,463","384,738,307","382,494,656","344,654,241","342,511,540","338,411,140","337,570,170","314,763,039","311,453,809","308,547,812","282,531,023","282,275,023","243,742,023","162,783,318","162,783,318","162,783,318","162,783,318","162,783,318"
