name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
			InterestExpenseForShortTermDebt,,,,,,,,,,,,,"13,722,000","8,700,000","11,101,000","3,234,000","4,472,000","1,671,000",,
			InterestExpenseForLongTermDebtAndCapitalSecurities,"22,664,000","24,762,000","26,616,000","18,834,000","13,506,000","10,685,000","11,393,000","13,329,000","11,044,000","10,610,000","7,393,000","8,200,000","11,826,000","10,708,000","7,584,000","3,788,000","3,125,000","2,969,000",,
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,"81,000","96,000","194,000","336,000","538,000","3,629,000","5,999,000","8,397,000",,,,,,
			OtherInterestExpense,"1,200,000","1,466,000","524,000","50,000","65,000","88,000",,,,,,"121,588,000",,,,,,,,
	NonInterestIncome,"5,778,000","17,484,000","14,648,000","30,907,000","46,107,000","35,095,000","29,218,000","10,197,000","16,664,000","38,377,000","46,998,000","30,735,000","39,786,000","22,538,000","13,434,000","12,138,000","8,726,000","4,270,000","-23,824,000","-23,136,000"
		TotalPremiumsEarned,"3,882,000","3,901,000","3,946,000","3,861,000","3,762,000","3,899,000","4,508,000","4,809,000","4,439,000","5,372,000","3,299,000","2,192,000",,,,,,,,
		FeesAndCommissions,"-11,615,000","-11,304,000","2,525,000","8,898,000","17,327,000","13,125,000","7,462,000","6,740,000","3,737,000","15,092,000","12,293,000","17,459,000","16,624,000","14,592,000","10,796,000","8,194,000","5,229,000","1,998,000",,
			FeesandCommissionIncome,"31,200,000","30,332,000","30,304,000","26,659,000","23,262,000","20,266,000","14,214,000","13,883,000","13,016,000","15,092,000","12,293,000","17,459,000","16,624,000","14,592,000","10,796,000","8,194,000","5,229,000","1,998,000",,
				ServiceChargeOnDepositorAccounts,"24,345,000","23,353,000","22,295,000","20,346,000","18,824,000","16,587,000","10,451,000","9,920,000","9,452,000","9,102,000","8,969,000","8,172,000",,,,,,,,
				TrustFeesbyCommissions,,,,,,,,,,"2,537,000","4,003,000","9,287,000","10,489,000","9,764,000","7,346,000","5,699,000","2,896,000",,,
				CreditCard,"6,855,000","6,979,000","8,009,000","6,313,000","4,438,000","3,679,000",,,,,,,,,,,,,,
				OtherCustomerServices,,,,,,,"3,763,000","3,963,000","3,564,000","3,453,000","3,324,000","9,287,000","6,135,000","4,828,000","3,450,000","2,495,000","2,333,000",,,
			FeesandCommissionExpense,"42,815,000","41,636,000","27,779,000","17,761,000","5,935,000","7,141,000","6,752,000","7,143,000","9,279,000",,,,,,,,,,,
		DividendIncome,"6,115,000","6,133,000","7,915,000","7,740,000","9,002,000","10,317,000","4,606,000","1,363,000","1,207,000","3,694,000","1,976,000","1,967,000",,,,,,,,
		TradingGainLoss,,,,,,,,,,,,"3,631,000",,,,,,,,
		ForeignExchangeTradingGains,"5,220,000","4,987,000","4,760,000","3,536,000",,,,,,,,,,,,,,,,
		GainLossonSaleofAssets,"-4,505,000","7,611,000","-6,936,000","4,635,000","9,180,000","2,685,000","6,178,000","1,192,000","-258,000","4,798,000","19,119,000","-5,437,000","9,171,000","2,852,000","-4,436,000","69,000","19,000","-265,000",,
			GainOnSaleOfSecurity,"-5,791,000","8,271,000","-11,267,000","2,343,000","5,285,000","615,000","757,000","-1,195,000","3,949,000","4,798,000","19,488,000","15,837,000","138,000","434,000","-4,436,000","69,000",,,,
			GainonSaleofLoans,"3,555,000","3,158,000","4,340,000","2,212,000","3,770,000",,,,,,,,,,,,,,,
			GainonSaleofInvestmentProperty,"-2,269,000","-3,818,000","-9,000","80,000","125,000","2,070,000","5,421,000","2,387,000","-4,207,000",,"-369,000","-21,274,000","9,033,000","2,418,000",,,"19,000","-265,000",,
		OtherNonInterestIncome,"6,681,000","6,156,000","2,438,000","2,237,000","6,836,000","5,069,000","6,464,000","-3,907,000","7,539,000","9,421,000","10,311,000","13,115,000","13,991,000","5,094,000","7,074,000","3,875,000","3,478,000","2,537,000","-23,824,000","-23,136,000"
CreditLossesProvision,"-65,140,000","-18,500,000","-23,000,000","-17,250,000","-8,000,000","-3,200,000","-4,726,000","-13,220,000","-46,844,000","-46,188,000","-93,211,000","-149,099,000","-68,189,000","-20,259,000","-4,660,000","-6,179,000","-3,914,000","-5,145,000","-1,587,000",
NonInterestExpense,"446,300,000","437,327,000","397,879,000","343,260,000","312,727,000","246,699,000","206,580,000","190,776,000","170,899,000","194,034,000","195,107,000","181,515,000","161,237,000","133,670,000","96,086,000","64,864,000","44,929,000","27,290,000","19,050,000","18,256,000"
	OccupancyAndEquipment,"32,505,000","32,507,000","29,404,000","27,860,000","27,303,000","22,180,000","18,192,000","19,126,000","18,815,000","19,972,000","19,580,000","21,049,000","20,891,000","18,120,000","12,958,000","9,819,000","7,309,000","4,820,000",,
		NetOccupancyExpense,"32,505,000","32,507,000","29,404,000","27,860,000","27,303,000","22,180,000","18,192,000","19,126,000","18,815,000","19,972,000","19,580,000","21,049,000",,,,,,,,
	ProfessionalExpenseAndContractServicesExpense,"39,879,000","37,009,000","28,722,000","29,814,000","24,610,000","18,548,000","14,278,000","13,633,000","8,229,000","7,678,000","4,256,000","12,150,000",,,,,,,,
	SellingGeneralAndAdministration,"339,001,000","333,017,000","299,689,000","251,415,000","223,964,000","178,492,000","148,024,000","132,061,000","124,911,000","133,453,000","145,913,000","127,847,000","98,596,000","83,397,000","59,009,000","39,622,000","27,262,000","16,604,000",,
