name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,09/30/2007
			OtherIntangibleAssets,"3,999,000","4,038,000","3,661,000","3,887,000","4,112,000","4,283,000","4,590,000","4,880,000","5,927,000","5,432,000","5,657,000","5,840,000","5,857,000","5,048,000","5,091,000","499,000","369,000","321,000","195,000","137,000","45,000","52,000","51,000","72,000","93,000","113,000","136,000","164,000","196,000","239,000","305,000","380,000","466,000","555,000","649,000","892,000","1,009,000","976,000","1,097,000","1,220,000","1,026,000","1,122,000","1,231,000","1,344,000",
		InvestmentsAndAdvances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","1,928,000","1,163,000","1,381,000","1,861,000",,,,,,,
			OtherInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,
		NonCurrentDeferredAssets,"4,353,000","4,115,000","5,201,000","5,679,000","5,734,000","5,454,000","5,378,000","5,280,000","3,181,000","3,279,000","4,227,000","4,482,000","4,048,000","2,829,000","3,543,000","4,250,000","3,966,000","4,830,000","4,791,000","4,673,000","4,263,000","4,197,000","4,334,000","1,775,000","2,905,000","2,937,000","2,912,000","2,905,000","2,435,000","2,914,000","3,244,000","1,764,000","1,871,000","1,972,000","2,060,000","1,953,000","1,981,000","1,847,000","1,822,000","1,626,000","1,539,000","1,105,000","1,034,000","1,427,000","1,580,000"
			NonCurrentDeferredTaxesAssets,"4,353,000","4,115,000","5,201,000","5,679,000","5,734,000","5,454,000","5,378,000","5,280,000","3,046,000","3,056,000","2,730,000","2,905,000","2,452,000","1,879,000","2,503,000","1,806,000","1,455,000","2,249,000","2,249,000","2,249,000","1,690,000","1,690,000","1,775,000","1,775,000","2,905,000","2,937,000","2,912,000","2,905,000","2,435,000","2,914,000","3,244,000","1,764,000","1,871,000","1,972,000","2,060,000","1,953,000","1,981,000","1,847,000","1,822,000","1,626,000","1,539,000","1,105,000","1,034,000","1,427,000","1,580,000"
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,,"2,623,000",,,,,"989,000","91,000","95,000","102,000","107,000","655,000","635,000",,"624,000",,,,,,,,,,,,,
		OtherNonCurrentAssets,"262,000","7,655,000","7,627,000","7,526,000","354,000","72,000","57,000","80,000","3,569,000","3,423,000","3,414,000","3,312,000","3,175,000","3,126,000","3,379,000",,,,,,,,,,,,,,,,"636,000",,"662,000","669,000","667,000","681,000","626,000","630,000","987,000","602,000","613,000","625,000","693,000","898,000","609,000"
TotalLiabilitiesNetMinorityInterest,"396,852,000","386,701,000","399,015,000","392,219,000","381,729,000","374,393,000","381,647,000","347,079,000","319,262,000","316,167,000","337,092,000","351,501,000","355,582,000","326,254,000","316,270,000","302,031,000","237,830,000","217,362,000","204,224,000","193,559,000","181,266,000","151,165,000","149,936,000","137,721,000","153,081,000","138,923,000","143,637,000","139,590,000","179,517,000","184,986,000","208,934,000","210,653,000","210,638,000","126,084,000","137,443,000","136,248,000","142,871,000","144,674,000","150,430,000","145,262,000","135,984,000","121,515,000","106,264,000","94,580,000","101,203,000"
	CurrentLiabilities,"327,451,000","313,380,000","323,421,000","313,048,000","305,642,000","297,550,000","305,776,000","270,117,000","287,159,000","281,836,000","300,014,000","311,272,000","312,814,000","283,057,000","269,243,000","256,018,000","228,944,000","207,153,000","193,102,000","181,048,000","167,557,000","136,581,000","133,869,000","120,629,000","135,969,000","119,425,000","121,711,000","115,429,000","150,775,000","154,310,000","175,368,000","175,258,000","172,241,000","95,761,000","116,243,000","117,809,000","125,700,000","126,807,000","130,402,000","124,903,000","115,702,000","100,104,000","82,632,000","70,012,000","85,847,000"
		PayablesAndAccruedExpenses,"311,461,000","296,730,000","307,057,000","307,161,000","301,975,000","293,891,000","302,092,000","263,085,000","234,204,000","228,916,000","252,250,000","262,526,000","263,815,000","244,408,000","231,605,000","231,418,000","178,944,000","153,153,000","157,102,000","145,048,000","131,557,000","130,581,000","127,869,000","114,629,000","124,118,000","105,441,000","107,878,000","93,468,000","90,956,000","88,587,000","157,380,000","102,987,000","154,293,000","70,831,000","102,846,000","105,734,000","120,732,000","121,339,000","124,894,000","118,895,000","109,663,000","93,458,000","75,380,000","62,079,000","76,539,000"
